id_nodo; timestamp; temperatura; humedad; CO2; volatiles
ARL;1682334443962;27.00;33.00;400.00;0.00
ARL;1682334466340;27.00;35.00;402.00;0.00
ARL;1682334481755;27.00;34.00;400.00;0.00
ARL;1682334512344;28.00;34.00;428.00;4.00
ARL;1682334527907;27.00;33.00;1140.00;112.00
ARL;1682334543297;28.00;50.00;1999.00;746.00
ARL;1682334558634;30.00;72.00;1733.00;370.00
ARL;1682334574017;32.00;71.00;1044.00;98.00
ARL;1682334589535;33.00;33.00;708.00;46.00
ARL;1682334604876;33.00;23.00;611.00;32.00
ARL;1682334620204;33.00;23.00;728.00;49.00
ARL;1682334650803;32.00;24.00;540.00;21.00
ARL;1682334681382;31.00;30.00;572.00;26.00
ARL;1682334696684;31.00;29.00;555.00;23.00
ARL;1682334727263;30.00;28.00;518.00;17.00
ARL;1682334742575;29.00;29.00;426.00;3.00
ARL;1682334773153;29.00;30.00;432.00;4.00
ARL;1682334788457;29.00;32.00;439.00;5.00
ARL;1682334803764;29.00;32.00;408.00;1.00
ARL;1682334819069;28.00;31.00;436.00;5.00
ARL;1682334849648;28.00;30.00;400.00;0.00
ARL;1682334864937;28.00;31.00;406.00;0.00
ARL;1682334895538;28.00;31.00;405.00;0.00
ARL;1682334926261;28.00;32.00;442.00;6.00
ARL;1682334956900;28.00;33.00;464.00;9.00
ARL;1682334987783;27.00;33.00;476.00;11.00
ARL;1682335003106;27.00;33.00;536.00;20.00
ARL;1682335018426;27.00;34.00;526.00;19.00
ARL;1682335049009;29.00;69.00;1159.00;115.00
ARL;1682335064311;31.00;80.00;1035.00;96.00
ARL;1682335094890;34.00;75.00;891.00;74.00
ARL;1682335110226;35.00;73.00;556.00;23.00
ARL;1682335125556;35.00;73.00;518.00;17.00
ARL;1682335140918;36.00;74.00;1686.00;324.00
ARL;1682335156228;36.00;70.00;686.00;43.00
ARL;1682335171537;36.00;81.00;565.00;25.00
ARL;1682335186842;36.00;80.00;1017.00;93.00
ARL;1682335202144;36.00;72.00;3150.00;3174.00
ARL;1682335232717;36.00;82.00;1717.00;355.00
ARL;1682335248022;36.00;82.00;1573.00;225.00
ARL;1682335278595;36.00;70.00;481.00;12.00
ARL;1682335293962;36.00;28.00;432.00;4.00
ARL;1682335309323;35.00;22.00;488.00;13.00
ARL;1682335324629;34.00;23.00;518.00;17.00
ARL;1682335339930;33.00;26.00;446.00;7.00
ARL;1682335355227;33.00;26.00;435.00;5.00
ARL;1682335385803;31.00;28.00;599.00;30.00
ARL;1682335401096;31.00;30.00;744.00;52.00
ARL;1682335431672;30.00;30.00;460.00;9.00
ARL;1682335446974;30.00;31.00;400.00;0.00
ARL;1682335477566;29.00;32.00;415.00;2.00
ARL;1682335492869;29.00;34.00;444.00;6.00
ARL;1682335508173;29.00;70.00;581.00;27.00
ARL;1682335523475;30.00;48.00;434.00;5.00
ARL;1682335554060;30.00;30.00;408.00;1.00
ARL;1682335569363;30.00;30.00;405.00;0.00
ARL;1682335584655;30.00;30.00;405.00;0.00
ARL;1682335599957;30.00;30.00;400.00;0.00
ARL;1682335630559;29.00;32.00;409.00;1.00
ARL;1682335645874;29.00;32.00;400.00;0.00
ARL;1682335661175;28.00;31.00;409.00;1.00
ARL;1682335676477;28.00;49.00;411.00;1.00
ARL;1682335691783;28.00;34.00;445.00;6.00
ARL;1682335707078;28.00;33.00;445.00;6.00
ARL;1682335737653;28.00;33.00;428.00;4.00
ARL;1682335752956;28.00;33.00;442.00;6.00
ARL;1682335783539;27.00;34.00;472.00;10.00
ARL;1682335798841;27.00;34.00;442.00;6.00
ARL;1682335814145;27.00;35.00;442.00;6.00
ARL;1682335829479;27.00;34.00;409.00;1.00
ARL;1682335844780;27.00;35.00;400.00;0.00
ARL;1682335860081;27.00;34.00;405.00;0.00
ARL;1682335875388;27.00;34.00;566.00;25.00
ARL;1682335890676;27.00;36.00;450.00;7.00
ARL;1682335921254;27.00;35.00;464.00;9.00
ARL;1682335936561;27.00;36.00;956.00;84.00
ARL;1682335951877;27.00;40.00;503.00;15.00
ARL;1682335967179;27.00;36.00;496.00;14.00
ARL;1682335997758;27.00;35.00;491.00;13.00
ARL;1682336013060;27.00;35.00;517.00;17.00
ARL;1682336043639;27.00;37.00;526.00;19.00
ARL;1682336058941;27.00;37.00;496.00;14.00
ARL;1682336074251;27.00;35.00;517.00;17.00
ARL;1682336089554;27.00;36.00;481.00;12.00
ARL;1682336120173;27.00;36.00;491.00;13.00
ARL;1682336135478;27.00;44.00;476.00;11.00
ARL;1682336150780;28.00;41.00;464.00;9.00
ARL;1682336181358;28.00;34.00;768.00;56.00
ARL;1682336196659;28.00;35.00;503.00;15.00
ARL;1682336227234;33.00;95.00;4112.00;5223.00
ARL;1682336242535;35.00;89.00;905.00;76.00
ARL;1682336273108;32.00;95.00;555.00;23.00
ARL;1682336291130;31.00;57.00;526.00;19.00
ARL;1682336306432;31.00;41.00;543.00;21.00
ARL;1682336337014;30.00;33.00;517.00;17.00
ARL;1682336352320;30.00;33.00;517.00;17.00
ARL;1682336367631;30.00;33.00;450.00;7.00
ARL;1682336382935;29.00;33.00;428.00;4.00
ARL;1682336398239;29.00;33.00;459.00;8.00
ARL;1682336413541;29.00;34.00;459.00;8.00
