id_nodo; timestamp; temperatura; humedad; CO2; volatiles
AirMax;1650885494261;25.00;40.00;422.00;3.00
AirMax;1650885509652;25.00;41.00;432.00;4.00
AirMax;1650885525028;25.00;41.00;436.00;5.00
AirMax;1650885540554;25.00;41.00;432.00;4.00
AirMax;1650885557414;25.00;41.00;439.00;5.00
AirMax;1650885610626;25.00;42.00;428.00;4.00
AirMax;1650885626037;25.00;42.00;424.00;3.00
AirMax;1650885642500;25.00;41.00;410.00;1.00
AirMax;1650885658723;25.00;41.00;415.00;2.00
AirMax;1650885674022;25.00;41.00;415.00;2.00
AirMax;1650885689823;25.00;41.00;424.00;3.00
AirMax;1650885705629;25.00;41.00;465.00;9.00
AirMax;1650885720935;25.00;41.00;400.00;0.00
AirMax;1650885736243;25.00;40.00;496.00;14.00
AirMax;1650885751552;25.00;39.00;405.00;0.00
AirMax;1650885767547;25.00;39.00;508.00;16.00
AirMax;1650885782953;25.00;39.00;448.00;7.00
AirMax;1650885798602;25.00;38.00;454.00;8.00
AirMax;1650885814745;25.00;37.00;505.00;15.00
AirMax;1650885830058;25.00;37.00;540.00;21.00
AirMax;1650885845358;25.00;38.00;527.00;19.00
AirMax;1650885860654;25.00;42.00;488.00;13.00
AirMax;1650885875956;25.00;39.00;527.00;19.00
AirMax;1650885891345;25.00;39.00;508.00;16.00
AirMax;1650885906774;25.00;40.00;496.00;14.00
AirMax;1650885922069;25.00;39.00;472.00;10.00
AirMax;1650885937368;25.00;39.00;578.00;27.00
AirMax;1650885952664;25.00;39.00;560.00;24.00
AirMax;1650885968486;25.00;38.00;530.00;19.00
AirMax;1650885984427;25.00;38.00;488.00;13.00
AirMax;1650885999836;25.00;38.00;566.00;25.00
AirMax;1650886015135;25.00;39.00;518.00;17.00
AirMax;1650886031113;25.00;38.00;488.00;13.00
AirMax;1650886046413;25.00;38.00;578.00;27.00
AirMax;1650886061733;25.00;38.00;591.00;29.00
AirMax;1650886077453;25.00;39.00;612.00;32.00
AirMax;1650886092756;25.00;40.00;612.00;32.00
AirMax;1650886108418;25.00;40.00;634.00;35.00
AirMax;1650886123824;25.00;40.00;627.00;34.00
AirMax;1650886139448;25.00;40.00;640.00;36.00
AirMax;1650886154766;25.00;40.00;646.00;37.00
AirMax;1650886170157;25.00;40.00;656.00;39.00
AirMax;1650886186244;25.00;40.00;665.00;40.00
AirMax;1650886202476;25.00;41.00;694.00;44.00
AirMax;1650886217787;25.00;40.00;694.00;44.00
AirMax;1650886233101;25.00;40.00;665.00;40.00
AirMax;1650886248408;25.00;41.00;665.00;40.00
AirMax;1650886264082;25.00;41.00;686.00;43.00
AirMax;1650886279456;25.00;41.00;686.00;43.00
