id_nodo; timestamp; temperatura; humedad; CO2; volatiles
Albion-online-siu;1682334488302;27.00;35.00;400.00;0.00
Albion-online-siu;1682334503678;27.00;34.00;408.00;1.00
Albion-online-siu;1682334552146;27.00;34.00;400.00;0.00
Albion-online-siu;1682334567558;27.00;34.00;427.00;4.00
Albion-online-siu;1682334582984;27.00;34.00;410.00;1.00
Albion-online-siu;1682334598728;26.00;35.00;410.00;1.00
Albion-online-siu;1682334616922;26.00;35.00;420.00;3.00
Albion-online-siu;1682334632530;26.00;34.00;410.00;1.00
Albion-online-siu;1682334647829;26.00;34.00;403.00;0.00
Albion-online-siu;1682334663264;26.00;34.00;400.00;0.00
Albion-online-siu;1682334678567;26.00;34.00;427.00;4.00
Albion-online-siu;1682334693871;26.00;34.00;441.00;6.00
Albion-online-siu;1682334709166;26.00;35.00;433.00;5.00
Albion-online-siu;1682334724491;26.00;35.00;454.00;8.00
Albion-online-siu;1682334739793;26.00;35.00;464.00;9.00
Albion-online-siu;1682334755089;26.00;35.00;464.00;9.00
Albion-online-siu;1682334770383;26.00;35.00;475.00;11.00
Albion-online-siu;1682334785677;26.00;35.00;464.00;9.00
Albion-online-siu;1682334800978;26.00;35.00;424.00;3.00
Albion-online-siu;1682334816280;26.00;34.00;424.00;3.00
Albion-online-siu;1682334831593;26.00;34.00;420.00;3.00
Albion-online-siu;1682334846894;26.00;34.00;400.00;0.00
Albion-online-siu;1682334862193;26.00;34.00;413.00;1.00
Albion-online-siu;1682334877523;26.00;34.00;433.00;5.00
Albion-online-siu;1682334892936;26.00;34.00;424.00;3.00
Albion-online-siu;1682334908290;27.00;95.00;459.00;8.00
Albion-online-siu;1682334923590;29.00;50.00;417.00;2.00
Albion-online-siu;1682334938891;29.00;33.00;422.00;3.00
Albion-online-siu;1682334954218;29.00;32.00;434.00;5.00
Albion-online-siu;1682334969592;29.00;31.00;439.00;5.00
Albion-online-siu;1682334984933;29.00;31.00;451.00;7.00
Albion-online-siu;1682335000311;29.00;31.00;454.00;8.00
Albion-online-siu;1682335015665;29.00;32.00;463.00;9.00
Albion-online-siu;1682335046253;28.00;30.00;446.00;7.00
Albion-online-siu;1682335061547;28.00;31.00;454.00;8.00
Albion-online-siu;1682335076842;28.00;31.00;434.00;5.00
Albion-online-siu;1682335092141;28.00;31.00;407.00;1.00
Albion-online-siu;1682335133582;27.00;30.00;403.00;0.00
Albion-online-siu;1682335148882;27.00;32.00;410.00;1.00
Albion-online-siu;1682335164186;27.00;32.00;400.00;0.00
Albion-online-siu;1682335179485;27.00;32.00;408.00;1.00
Albion-online-siu;1682335194781;27.00;32.00;416.00;2.00
Albion-online-siu;1682335210075;27.00;33.00;454.00;8.00
Albion-online-siu;1682335225368;27.00;33.00;423.00;3.00
Albion-online-siu;1682335240665;27.00;33.00;444.00;6.00
Albion-online-siu;1682335256096;27.00;33.00;447.00;7.00
Albion-online-siu;1682335271389;27.00;34.00;442.00;6.00
Albion-online-siu;1682335286680;26.00;34.00;447.00;7.00
Albion-online-siu;1682335301976;26.00;35.00;442.00;6.00
Albion-online-siu;1682335317413;26.00;34.00;447.00;7.00
Albion-online-siu;1682335332708;26.00;34.00;423.00;3.00
Albion-online-siu;1682335348030;26.00;33.00;447.00;7.00
Albion-online-siu;1682335363329;26.00;37.00;433.00;5.00
Albion-online-siu;1682335378645;26.00;34.00;436.00;5.00
Albion-online-siu;1682335393963;26.00;34.00;433.00;5.00
Albion-online-siu;1682335409276;26.00;34.00;408.00;1.00
Albion-online-siu;1682335424576;26.00;34.00;403.00;0.00
Albion-online-siu;1682335439871;26.00;34.00;444.00;6.00
Albion-online-siu;1682335455165;26.00;36.00;403.00;0.00
Albion-online-siu;1682335470473;26.00;34.00;413.00;1.00
Albion-online-siu;1682335485767;26.00;35.00;436.00;5.00
Albion-online-siu;1682335501061;26.00;35.00;400.00;0.00
Albion-online-siu;1682335516357;26.00;34.00;400.00;0.00
Albion-online-siu;1682335531655;26.00;34.00;423.00;3.00
Albion-online-siu;1682335546958;26.00;34.00;433.00;5.00
Albion-online-siu;1682335562284;26.00;34.00;418.00;2.00
Albion-online-siu;1682335577584;26.00;35.00;423.00;3.00
Albion-online-siu;1682335592865;26.00;34.00;485.00;12.00
Albion-online-siu;1682335608164;26.00;36.00;487.00;13.00
Albion-online-siu;1682335623460;26.00;36.00;472.00;10.00
Albion-online-siu;1682335638753;26.00;35.00;463.00;9.00
Albion-online-siu;1682335654066;26.00;35.00;481.00;12.00
Albion-online-siu;1682335669360;26.00;35.00;487.00;13.00
Albion-online-siu;1682335684661;26.00;35.00;485.00;12.00
Albion-online-siu;1682335699984;26.00;35.00;476.00;11.00
Albion-online-siu;1682335715288;26.00;35.00;463.00;9.00
Albion-online-siu;1682335730588;26.00;36.00;452.00;7.00
Albion-online-siu;1682335745889;26.00;35.00;445.00;6.00
Albion-online-siu;1682335764020;26.00;35.00;457.00;8.00
Albion-online-siu;1682335779339;26.00;35.00;472.00;10.00
Albion-online-siu;1682335794644;26.00;36.00;493.00;14.00
Albion-online-siu;1682335809939;26.00;38.00;501.00;15.00
Albion-online-siu;1682335825239;26.00;38.00;487.00;17.00
Albion-online-siu;1682335840538;26.00;37.00;529.00;19.00
Albion-online-siu;1682335855864;26.00;36.00;482.00;12.00
Albion-online-siu;1682335871207;26.00;36.00;503.00;15.00
Albion-online-siu;1682335886502;26.00;35.00;482.00;12.00
Albion-online-siu;1682335901785;26.00;35.00;501.00;15.00
Albion-online-siu;1682335917084;26.00;35.00;487.00;13.00
Albion-online-siu;1682335932384;26.00;35.00;529.00;19.00
Albion-online-siu;1682335947722;26.00;35.00;464.00;9.00
Albion-online-siu;1682335978315;26.00;35.00;581.00;27.00
Albion-online-siu;1682335993609;26.00;36.00;555.00;23.00
Albion-online-siu;1682336008904;26.00;36.00;549.00;22.00
Albion-online-siu;1682336024199;26.00;35.00;543.00;21.00
Albion-online-siu;1682336043213;26.00;35.00;529.00;19.00
Albion-online-siu;1682336058507;26.00;36.00;531.00;19.00
Albion-online-siu;1682336073812;26.00;36.00;555.00;23.00
Albion-online-siu;1682336089109;26.00;35.00;555.00;23.00
Albion-online-siu;1682336104431;26.00;35.00;682.00;42.00
Albion-online-siu;1682336119724;26.00;38.00;569.00;25.00
Albion-online-siu;1682336135042;26.00;36.00;493.00;14.00
Albion-online-siu;1682336150336;26.00;36.00;452.00;7.00
Albion-online-siu;1682336165654;26.00;34.00;493.00;14.00
Albion-online-siu;1682336180958;26.00;34.00;537.00;20.00
Albion-online-siu;1682336196258;26.00;35.00;531.00;19.00
Albion-online-siu;1682336226904;26.00;39.00;1281.00;134.00
Albion-online-siu;1682336242207;26.00;41.00;529.00;19.00
Albion-online-siu;1682336257529;27.00;37.00;543.00;21.00
Albion-online-siu;1682336272821;27.00;38.00;501.00;15.00
Albion-online-siu;1682336288205;27.00;36.00;844.00;67.00
Albion-online-siu;1682336303500;27.00;38.00;514.00;17.00
Albion-online-siu;1682336318820;27.00;35.00;891.00;74.00
Albion-online-siu;1682336334119;27.00;35.00;482.00;12.00
Albion-online-siu;1682336349411;27.00;37.00;482.00;12.00
