id_nodo; timestamp; temperatura; humedad; CO2; volatiles
Arduinillos;1650885520202;27.00;37.00;456.00;8.00
Arduinillos;1650885535897;25.00;47.00;402.00;0.00
Arduinillos;1650885551561;24.00;46.00;420.00;3.00
Arduinillos;1650885566956;24.00;47.00;428.00;4.00
Arduinillos;1650885568511;27.00;39.00;459.00;8.00
Arduinillos;1650885582273;24.00;47.00;434.00;5.00
Arduinillos;1650885597977;24.00;47.00;446.00;7.00
Arduinillos;1650885613273;24.00;47.00;618.00;33.00
Arduinillos;1650885629444;24.00;49.00;464.00;9.00
Arduinillos;1650885633638;27.00;38.00;450.00;7.00
Arduinillos;1650885644748;24.00;49.00;699.00;45.00
Arduinillos;1650885648935;27.00;38.00;476.00;11.00
Arduinillos;1650885660606;24.00;47.00;420.00;3.00
Arduinillos;1650885664242;27.00;38.00;472.00;10.00
Arduinillos;1650885679739;26.00;39.00;460.00;9.00
Arduinillos;1650885695571;26.00;38.00;472.00;10.00
Arduinillos;1650885710696;24.00;46.00;417.00;2.00
Arduinillos;1650885710872;26.00;39.00;476.00;11.00
Arduinillos;1650885725991;24.00;46.00;450.00;7.00
Arduinillos;1650885726907;26.00;39.00;481.00;12.00
Arduinillos;1650885741338;24.00;47.00;441.00;6.00
Arduinillos;1650885742207;26.00;39.00;530.00;19.00
Arduinillos;1650885756733;24.00;47.00;450.00;7.00
Arduinillos;1650885757973;26.00;40.00;556.00;23.00
Arduinillos;1650885772574;24.00;46.00;459.00;8.00
Arduinillos;1650885773726;26.00;40.00;450.00;7.00
Arduinillos;1650885789021;26.00;40.00;450.00;7.00
Arduinillos;1650885804325;26.00;39.00;421.00;3.00
Arduinillos;1650885819614;26.00;40.00;422.00;3.00
Arduinillos;1650885834918;26.00;39.00;400.00;0.00
Arduinillos;1650885850310;26.00;40.00;462.00;9.00
Arduinillos;1650885866248;26.00;39.00;478.00;11.00
Arduinillos;1650885881781;26.00;39.00;421.00;3.00
Arduinillos;1650885897104;26.00;40.00;425.00;3.00
Arduinillos;1650885912400;26.00;47.00;483.00;12.00
Arduinillos;1650885927719;26.00;43.00;413.00;1.00
Arduinillos;1650885943014;26.00;38.00;584.00;28.00
Arduinillos;1650885958850;26.00;37.00;442.00;6.00
Arduinillos;1650885974521;26.00;38.00;564.00;24.00
Arduinillos;1650885989958;26.00;38.00;434.00;5.00
Arduinillos;1650886005366;26.00;36.00;496.00;14.00
Arduinillos;1650886020675;26.00;36.00;485.00;12.00
Arduinillos;1650886036437;26.00;36.00;555.00;23.00
Arduinillos;1650886052700;26.00;38.00;599.00;30.00
Arduinillos;1650886067997;26.00;38.00;574.00;26.00
Arduinillos;1650886083518;26.00;38.00;675.00;41.00
Arduinillos;1650886098821;26.00;39.00;954.00;84.00
Arduinillos;1650886114117;26.00;39.00;657.00;39.00
Arduinillos;1650886129418;26.00;40.00;690.00;44.00
Arduinillos;1650886144793;26.00;39.00;885.00;73.00
Arduinillos;1650886160327;26.00;40.00;690.00;44.00
Arduinillos;1650886175632;26.00;40.00;657.00;39.00
Arduinillos;1650886191780;26.00;40.00;719.00;48.00
Arduinillos;1650886207091;26.00;39.00;699.00;45.00
Arduinillos;1650886222392;26.00;39.00;712.00;47.00
Arduinillos;1650886237687;26.00;39.00;682.00;42.00
Arduinillos;1650886253060;26.00;40.00;699.00;45.00
Arduinillos;1650886268405;26.00;40.00;682.00;42.00
