id_nodo; timestamp; temperatura; humedad; CO2; volatiles
BonifacioMcFlufer69;1682334850228;27.00;33.00;434.00;5.00
BonifacioMcFlufer69;1682334865521;27.00;34.00;482.00;12.00
BonifacioMcFlufer69;1682334880829;27.00;38.00;650.00;38.00
BonifacioMcFlufer69;1682334896148;27.00;38.00;461.00;9.00
BonifacioMcFlufer69;1682334911467;27.00;36.00;417.00;2.00
BonifacioMcFlufer69;1682334926769;27.00;34.00;956.00;84.00
BonifacioMcFlufer69;1682334942068;27.00;38.00;1302.00;137.00
BonifacioMcFlufer69;1682334957387;27.00;39.00;666.00;40.00
BonifacioMcFlufer69;1682334972714;27.00;36.00;615.00;32.00
BonifacioMcFlufer69;1682334988205;27.00;35.00;505.00;15.00
BonifacioMcFlufer69;1682335003553;27.00;34.00;686.00;43.00
BonifacioMcFlufer69;1682335018931;27.00;36.00;520.00;18.00
BonifacioMcFlufer69;1682335034284;27.00;35.00;530.00;19.00
BonifacioMcFlufer69;1682335049600;27.00;36.00;694.00;44.00
BonifacioMcFlufer69;1682335064916;27.00;47.00;704.00;46.00
BonifacioMcFlufer69;1682335080233;27.00;37.00;821.00;64.00
BonifacioMcFlufer69;1682335095550;28.00;36.00;776.00;57.00
