id_nodo; timestamp; temperatura; humedad; CO2; volatiles
Casa;1650885666609;25.00;41.00;424.00;3.00
Casa;1650885681905;25.00;40.00;435.00;5.00
Casa;1650885712464;25.00;40.00;536.00;20.00
Casa;1650885727935;25.00;40.00;578.00;27.00
Casa;1650885743666;25.00;40.00;714.00;47.00
Casa;1650885759206;25.00;58.00;435.00;5.00
Casa;1650885774627;25.00;47.00;481.00;12.00
Casa;1650885790046;25.00;41.00;433.00;5.00
Casa;1650885805342;25.00;39.00;446.00;7.00
Casa;1650885820629;25.00;38.00;422.00;3.00
Casa;1650885836123;25.00;38.00;422.00;3.00
Casa;1650885851418;25.00;38.00;704.00;46.00
Casa;1650885866713;25.00;39.00;421.00;3.00
Casa;1650885882018;25.00;39.00;417.00;2.00
Casa;1650885897416;25.00;39.00;542.00;21.00
Casa;1650885912821;25.00;38.00;614.00;32.00
Casa;1650885928483;25.00;39.00;542.00;21.00
Casa;1650885943832;25.00;39.00;435.00;5.00
Casa;1650885959648;25.00;39.00;566.00;25.00
Casa;1650885975689;25.00;39.00;526.00;19.00
Casa;1650885990985;25.00;39.00;485.00;12.00
Casa;1650886006312;25.00;39.00;712.00;47.00
Casa;1650886021736;25.00;38.00;600.00;30.00
Casa;1650886037055;25.00;40.00;704.00;46.00
Casa;1650886052355;24.00;40.00;637.00;36.00
Casa;1650886067653;24.00;40.00;880.00;73.00
Casa;1650886083108;24.00;40.00;592.00;29.00
Casa;1650886098428;24.00;40.00;526.00;19.00
Casa;1650886113952;24.00;40.00;514.00;17.00
Casa;1650886129269;24.00;40.00;665.00;40.00
Casa;1650886144693;24.00;40.00;476.00;11.00
Casa;1650886160214;24.00;40.00;503.00;15.00
Casa;1650886175514;24.00;39.00;1178.00;118.00
Casa;1650886191877;24.00;40.00;649.00;37.00
Casa;1650886207913;24.00;40.00;726.00;49.00
Casa;1650886223213;24.00;40.00;697.00;45.00
Casa;1650886238511;24.00;40.00;726.00;49.00
Casa;1650886253980;24.00;40.00;813.00;62.00
Casa;1650886269643;24.00;40.00;531.00;19.00
