id_nodo; timestamp; temperatura; humedad; CO2; volatiles
Dorayakis;1650885580625;24.00;36.00;514.00;17.00
Dorayakis;1650885596434;25.00;35.00;620.00;33.00
Dorayakis;1650885612059;25.00;36.00;650.00;38.00
Dorayakis;1650885627514;25.00;35.00;728.00;49.00
Dorayakis;1650885643749;25.00;35.00;806.00;61.00
Dorayakis;1650885659362;25.00;35.00;806.00;61.00
Dorayakis;1650885674660;26.00;36.00;768.00;56.00
Dorayakis;1650885689985;26.00;36.00;785.00;58.00
Dorayakis;1650885705643;26.00;36.00;776.00;57.00
Dorayakis;1650885720956;26.00;36.00;806.00;61.00
Dorayakis;1650885736250;26.00;36.00;825.00;64.00
Dorayakis;1650885751571;26.00;36.00;795.00;60.00
Dorayakis;1650885767535;26.00;36.00;748.00;53.00
Dorayakis;1650885782843;26.00;36.00;715.00;47.00
Dorayakis;1650885798582;25.00;34.00;728.00;49.00
Dorayakis;1650885814741;26.00;35.00;728.00;49.00
Dorayakis;1650885830061;26.00;35.00;748.00;53.00
Dorayakis;1650885845386;26.00;35.00;400.00;0.00
Dorayakis;1650885860684;26.00;32.00;400.00;0.00
Dorayakis;1650885876001;25.00;30.00;403.00;0.00
Dorayakis;1650885891298;24.00;31.00;972.00;87.00
Dorayakis;1650885906772;24.00;35.00;1307.00;138.00
Dorayakis;1650885922067;24.00;38.00;637.00;36.00
Dorayakis;1650885937363;24.00;37.00;1181.00;118.00
Dorayakis;1650885952657;24.00;37.00;1465.00;162.00
Dorayakis;1650885968485;24.00;38.00;1238.00;127.00
Dorayakis;1650885984429;24.00;37.00;1224.00;125.00
Dorayakis;1650885999741;24.00;36.00;1238.00;127.00
Dorayakis;1650886015668;24.00;36.00;1288.00;135.00
Dorayakis;1650886031504;25.00;36.00;1385.00;150.00
Dorayakis;1650886046809;25.00;35.00;682.00;42.00
Dorayakis;1650886062103;25.00;33.00;997.00;90.00
Dorayakis;1650886077659;25.00;33.00;1053.00;99.00
Dorayakis;1650886092962;25.00;34.00;1065.00;101.00
Dorayakis;1650886108604;25.00;34.00;1019.00;94.00
Dorayakis;1650886123902;25.00;35.00;1252.00;129.00
Dorayakis;1650886139551;25.00;35.00;1324.00;140.00
Dorayakis;1650886154868;25.00;35.00;1400.00;152.00
Dorayakis;1650886170164;25.00;35.00;1465.00;162.00
Dorayakis;1650886185741;25.00;35.00;1499.00;167.00
Dorayakis;1650886201041;25.00;35.00;1499.00;167.00
Dorayakis;1650886216387;25.00;34.00;749.00;53.00
Dorayakis;1650886231780;25.00;32.00;913.00;78.00
Dorayakis;1650886247405;25.00;31.00;1181.00;118.00
Dorayakis;1650886262929;25.00;33.00;1341.00;143.00
Dorayakis;1650886278483;25.00;33.00;1465.00;162.00
