id_nodo; timestamp; temperatura; humedad; CO2; volatiles
ELPROYECTOJEJE;1682334533793;27.00;35.00;403.00;0.00
ELPROYECTOJEJE;1682334549087;27.00;34.00;1445.00;159.00
ELPROYECTOJEJE;1682334564439;27.00;37.00;492.00;14.00
ELPROYECTOJEJE;1682334579776;27.00;35.00;447.00;7.00
ELPROYECTOJEJE;1682334595456;27.00;35.00;403.00;0.00
ELPROYECTOJEJE;1682334638999;27.00;35.00;400.00;0.00
ELPROYECTOJEJE;1682334654300;27.00;34.00;414.00;2.00
ELPROYECTOJEJE;1682334669592;27.00;34.00;455.00;8.00
ELPROYECTOJEJE;1682334684909;27.00;35.00;526.00;19.00
ELPROYECTOJEJE;1682334700208;27.00;35.00;945.00;83.00
ELPROYECTOJEJE;1682334715536;27.00;37.00;981.00;88.00
ELPROYECTOJEJE;1682334730842;27.00;38.00;624.00;34.00
ELPROYECTOJEJE;1682334746136;27.00;37.00;569.00;25.00
ELPROYECTOJEJE;1682334761442;27.00;35.00;498.00;14.00
ELPROYECTOJEJE;1682334776785;27.00;35.00;433.00;5.00
ELPROYECTOJEJE;1682334792106;27.00;35.00;400.00;0.00
ELPROYECTOJEJE;1682334807402;27.00;34.00;417.00;2.00
ELPROYECTOJEJE;1682334822709;27.00;62.00;417.00;2.00
ELPROYECTOJEJE;1682334838012;29.00;92.00;456.00;8.00
ELPROYECTOJEJE;1682334853471;30.00;48.00;423.00;3.00
ELPROYECTOJEJE;1682334868788;31.00;32.00;446.00;7.00
ELPROYECTOJEJE;1682334884083;30.00;31.00;405.00;0.00
ELPROYECTOJEJE;1682334899378;30.00;30.00;443.00;6.00
ELPROYECTOJEJE;1682334914680;30.00;31.00;426.00;3.00
ELPROYECTOJEJE;1682334930028;29.00;32.00;418.00;2.00
ELPROYECTOJEJE;1682334945328;29.00;32.00;422.00;3.00
ELPROYECTOJEJE;1682334975932;28.00;31.00;500.00;15.00
ELPROYECTOJEJE;1682334991265;28.00;32.00;461.00;9.00
ELPROYECTOJEJE;1682335006617;28.00;32.00;470.00;10.00
ELPROYECTOJEJE;1682335021962;28.00;33.00;465.00;9.00
ELPROYECTOJEJE;1682335037288;28.00;33.00;470.00;10.00
ELPROYECTOJEJE;1682335052607;27.00;32.00;456.00;8.00
ELPROYECTOJEJE;1682335067901;27.00;32.00;438.00;5.00
ELPROYECTOJEJE;1682335083199;28.00;65.00;434.00;5.00
ELPROYECTOJEJE;1682335098493;29.00;79.00;414.00;2.00
ELPROYECTOJEJE;1682335113838;31.00;54.00;434.00;5.00
ELPROYECTOJEJE;1682335129226;31.00;72.00;452.00;7.00
ELPROYECTOJEJE;1682335144530;32.00;59.00;416.00;2.00
ELPROYECTOJEJE;1682335159825;32.00;30.00;407.00;1.00
ELPROYECTOJEJE;1682335175155;32.00;28.00;405.00;0.00
ELPROYECTOJEJE;1682335190456;31.00;29.00;496.00;14.00
ELPROYECTOJEJE;1682335205819;30.00;29.00;543.00;21.00
ELPROYECTOJEJE;1682335221122;30.00;31.00;600.00;30.00
ELPROYECTOJEJE;1682335236416;29.00;32.00;659.00;39.00
ELPROYECTOJEJE;1682335251711;29.00;31.00;748.00;53.00
ELPROYECTOJEJE;1682335267004;29.00;32.00;624.00;34.00
ELPROYECTOJEJE;1682335282295;28.00;31.00;519.00;18.00
ELPROYECTOJEJE;1682335297589;28.00;31.00;454.00;8.00
ELPROYECTOJEJE;1682335312987;28.00;31.00;441.00;6.00
ELPROYECTOJEJE;1682335328281;28.00;32.00;454.00;8.00
ELPROYECTOJEJE;1682335343575;28.00;32.00;448.00;7.00
ELPROYECTOJEJE;1682335358872;27.00;32.00;460.00;9.00
ELPROYECTOJEJE;1682335374165;27.00;32.00;581.00;27.00
ELPROYECTOJEJE;1682335389459;27.00;34.00;424.00;3.00
ELPROYECTOJEJE;1682335404745;27.00;32.00;415.00;2.00
ELPROYECTOJEJE;1682335420044;27.00;33.00;428.00;4.00
ELPROYECTOJEJE;1682335435363;27.00;33.00;413.00;1.00
ELPROYECTOJEJE;1682335450662;27.00;33.00;405.00;0.00
ELPROYECTOJEJE;1682335481254;26.00;34.00;485.00;12.00
ELPROYECTOJEJE;1682335496640;26.00;36.00;424.00;3.00
ELPROYECTOJEJE;1682335511973;26.00;35.00;405.00;0.00
ELPROYECTOJEJE;1682335527270;26.00;34.00;428.00;4.00
ELPROYECTOJEJE;1682335542564;26.00;34.00;418.00;2.00
ELPROYECTOJEJE;1682335557858;26.00;34.00;418.00;2.00
ELPROYECTOJEJE;1682335573151;26.00;34.00;457.00;8.00
ELPROYECTOJEJE;1682335588433;26.00;35.00;524.00;18.00
ELPROYECTOJEJE;1682335603727;26.00;35.00;548.00;22.00
ELPROYECTOJEJE;1682335619026;26.00;36.00;463.00;9.00
ELPROYECTOJEJE;1682335634320;27.00;34.00;444.00;6.00
ELPROYECTOJEJE;1682335649626;27.00;34.00;463.00;9.00
ELPROYECTOJEJE;1682335664922;27.00;35.00;475.00;11.00
ELPROYECTOJEJE;1682335680220;27.00;35.00;466.00;10.00
ELPROYECTOJEJE;1682335695515;27.00;36.00;439.00;6.00
ELPROYECTOJEJE;1682335726086;27.00;35.00;448.00;7.00
