id_nodo; timestamp; temperatura; humedad; CO2; volatiles
ETSISI1;1682334407437;27.00;30.00;414.00;2.00
ETSISI1;1682334438097;26.00;32.00;417.00;2.00
ETSISI1;1682334453393;26.00;32.00;405.00;0.00
ETSISI1;1682334468688;26.00;33.00;409.00;1.00
ETSISI1;1682334484258;26.00;33.00;423.00;3.00
ETSISI1;1682334499557;26.00;33.00;417.00;2.00
ETSISI1;1682334515031;26.00;33.00;414.00;2.00
ETSISI1;1682334530494;26.00;33.00;414.00;2.00
ETSISI1;1682334546223;26.00;33.00;414.00;2.00
ETSISI1;1682334561555;26.00;33.00;405.00;0.00
ETSISI1;1682334579741;26.00;33.00;422.00;3.00
ETSISI1;1682334595149;26.00;53.00;418.00;2.00
ETSISI1;1682334610645;29.00;95.00;815.00;63.00
ETSISI1;1682334626016;31.00;95.00;569.00;25.00
ETSISI1;1682334656717;33.00;84.00;682.00;42.00
ETSISI1;1682334672087;33.00;35.00;682.00;42.00
ETSISI1;1682334687387;33.00;26.00;682.00;42.00
ETSISI1;1682334702697;32.00;24.00;682.00;42.00
ETSISI1;1682334717997;31.00;25.00;682.00;42.00
ETSISI1;1682334733313;30.00;26.00;682.00;42.00
ETSISI1;1682334748621;30.00;27.00;682.00;42.00
ETSISI1;1682334763918;29.00;28.00;682.00;42.00
ETSISI1;1682334779232;29.00;31.00;682.00;42.00
ETSISI1;1682334809807;29.00;30.00;682.00;42.00
ETSISI1;1682334825118;28.00;30.00;682.00;42.00
ETSISI1;1682334840430;28.00;30.00;682.00;42.00
ETSISI1;1682334871022;28.00;31.00;682.00;42.00
ETSISI1;1682334886339;28.00;31.00;682.00;42.00
ETSISI1;1682334927555;28.00;31.00;400.00;0.00
ETSISI1;1682334960652;28.00;31.00;400.00;0.00
ETSISI1;1682334975959;28.00;31.00;400.00;0.00
ETSISI1;1682334994283;28.00;30.00;400.00;0.00
ETSISI1;1682335009607;28.00;31.00;402.00;0.00
ETSISI1;1682335024919;28.00;31.00;400.00;0.00
ETSISI1;1682335040224;28.00;30.00;400.00;0.00
ETSISI1;1682335055534;28.00;31.00;400.00;0.00
ETSISI1;1682335070837;28.00;31.00;400.00;0.00
ETSISI1;1682335086134;28.00;31.00;413.00;1.00
ETSISI1;1682335101437;28.00;30.00;403.00;0.00
ETSISI1;1682335116746;28.00;31.00;411.00;1.00
ETSISI1;1682335132068;28.00;31.00;408.00;1.00
ETSISI1;1682335147428;28.00;31.00;411.00;1.00
ETSISI1;1682335162729;28.00;31.00;523.00;18.00
ETSISI1;1682335178034;28.00;31.00;476.00;11.00
ETSISI1;1682335193347;28.00;31.00;448.00;7.00
ETSISI1;1682335208665;28.00;31.00;432.00;4.00
ETSISI1;1682335239283;28.00;31.00;425.00;3.00
