id_nodo; timestamp; temperatura; humedad; CO2; volatiles
Equipo9;1650885335755;26.00;37.00;413.00;1.00
Equipo9;1650885336485;25.00;45.00;409.00;1.00
Equipo9;1650885351058;26.00;37.00;426.00;3.00
Equipo9;1650885351970;25.00;45.00;778.00;57.00
Equipo9;1650885366376;26.00;37.00;454.00;8.00
Equipo9;1650885367277;25.00;46.00;422.00;3.00
Equipo9;1650885381681;26.00;37.00;444.00;6.00
Equipo9;1650885382806;25.00;46.00;427.00;4.00
Equipo9;1650885396976;26.00;38.00;436.00;5.00
Equipo9;1650885398117;24.00;45.00;438.00;5.00
Equipo9;1650885412304;26.00;38.00;448.00;7.00
Equipo9;1650885439480;24.00;46.00;409.00;1.00
Equipo9;1650885456003;25.00;46.00;444.00;6.00
Equipo9;1650885459293;26.00;39.00;411.00;1.00
Equipo9;1650885471894;25.00;46.00;441.00;6.00
Equipo9;1650885487798;25.00;46.00;444.00;6.00
Equipo9;1650885503107;25.00;46.00;463.00;9.00
Equipo9;1650885505504;26.00;39.00;414.00;2.00
Equipo9;1650885518405;25.00;46.00;424.00;3.00
Equipo9;1650885534095;25.00;46.00;463.00;9.00
Equipo9;1650885549607;25.00;45.00;476.00;11.00
Equipo9;1650885564901;25.00;45.00;463.00;9.00
Equipo9;1650885580291;25.00;45.00;470.00;10.00
Equipo9;1650885593635;26.00;41.00;426.00;3.00
Equipo9;1650885595637;25.00;44.00;785.00;58.00
Equipo9;1650885608935;25.00;38.00;461.00;9.00
Equipo9;1650885610942;25.00;47.00;450.00;7.00
Equipo9;1650885624248;25.00;39.00;461.00;9.00
Equipo9;1650885626431;25.00;44.00;459.00;8.00
Equipo9;1650885639564;25.00;39.00;470.00;10.00
Equipo9;1650885642502;25.00;44.00;650.00;38.00
Equipo9;1650885654867;25.00;39.00;463.00;9.00
Equipo9;1650885659375;25.00;45.00;444.00;6.00
Equipo9;1650885670236;25.00;40.00;476.00;11.00
Equipo9;1650885674674;25.00;45.00;455.00;8.00
Equipo9;1650885685537;25.00;39.00;476.00;11.00
Equipo9;1650885689984;25.00;44.00;2094.00;911.00
Equipo9;1650885700822;25.00;40.00;450.00;7.00
Equipo9;1650885705633;25.00;48.00;1659.00;297.00
Equipo9;1650885716134;25.00;40.00;461.00;9.00
Equipo9;1650885721356;26.00;95.00;506.00;16.00
Equipo9;1650885731772;25.00;40.00;445.00;6.00
Equipo9;1650885736879;26.00;95.00;744.00;52.00
Equipo9;1650885747073;25.00;40.00;405.00;0.00
Equipo9;1650885752621;26.00;59.00;400.00;0.00
Equipo9;1650885762381;25.00;40.00;439.00;5.00
Equipo9;1650885767922;26.00;48.00;599.00;30.00
Equipo9;1650885777683;25.00;40.00;400.00;0.00
Equipo9;1650885783216;26.00;46.00;566.00;25.00
Equipo9;1650885792981;25.00;39.00;405.00;0.00
Equipo9;1650885798596;26.00;45.00;671.00;41.00
Equipo9;1650885808300;25.00;39.00;433.00;5.00
Equipo9;1650885814748;26.00;44.00;592.00;29.00
Equipo9;1650885823603;25.00;40.00;443.00;6.00
Equipo9;1650885830063;26.00;45.00;1262.00;131.00
Equipo9;1650885838932;25.00;40.00;408.00;1.00
Equipo9;1650885854237;25.00;41.00;405.00;0.00
Equipo9;1650885869535;25.00;41.00;514.00;17.00
Equipo9;1650885871095;25.00;45.00;425.00;3.00
Equipo9;1650885884881;25.00;38.00;422.00;3.00
Equipo9;1650885886418;25.00;46.00;518.00;17.00
Equipo9;1650885900229;25.00;38.00;461.00;9.00
Equipo9;1650885901774;25.00;46.00;400.00;0.00
Equipo9;1650885915573;25.00;37.00;502.00;15.00
Equipo9;1650885930899;25.00;37.00;478.00;11.00
Equipo9;1650885946275;25.00;39.00;478.00;11.00
Equipo9;1650885948137;25.00;43.00;923.00;79.00
Equipo9;1650885961573;25.00;39.00;517.00;17.00
Equipo9;1650885963656;25.00;43.00;629.00;34.00
Equipo9;1650885976895;25.00;40.00;456.00;8.00
Equipo9;1650885979496;25.00;43.00;448.00;7.00
Equipo9;1650885992194;25.00;39.00;534.00;20.00
Equipo9;1650886007485;25.00;38.00;530.00;19.00
Equipo9;1650886022784;25.00;38.00;446.00;7.00
Equipo9;1650886030698;25.00;43.00;421.00;3.00
Equipo9;1650886038087;25.00;38.00;492.00;14.00
Equipo9;1650886045998;25.00;43.00;592.00;29.00
Equipo9;1650886053387;25.00;37.00;508.00;16.00
Equipo9;1650886061519;25.00;43.00;400.00;0.00
Equipo9;1650886068688;25.00;38.00;553.00;23.00
Equipo9;1650886083988;25.00;39.00;534.00;20.00
Equipo9;1650886099287;25.00;38.00;594.00;29.00
Equipo9;1650886110776;25.00;43.00;420.00;3.00
Equipo9;1650886114586;25.00;40.00;553.00;23.00
Equipo9;1650886126287;25.00;42.00;413.00;1.00
Equipo9;1650886130107;25.00;39.00;588.00;28.00
Equipo9;1650886142121;25.00;42.00;465.00;9.00
Equipo9;1650886145439;25.00;38.00;597.00;30.00
Equipo9;1650886157644;25.00;42.00;461.00;9.00
Equipo9;1650886160793;25.00;37.00;612.00;32.00
Equipo9;1650886172939;25.00;42.00;488.00;13.00
Equipo9;1650886176163;25.00;37.00;612.00;32.00
Equipo9;1650886188381;25.00;43.00;451.00;7.00
Equipo9;1650886191468;25.00;37.00;580.00;27.00
Equipo9;1650886203676;25.00;43.00;465.00;9.00
Equipo9;1650886206767;25.00;38.00;612.00;32.00
Equipo9;1650886219016;25.00;43.00;473.00;11.00
Equipo9;1650886222100;25.00;37.00;597.00;30.00
Equipo9;1650886234320;25.00;43.00;482.00;12.00
Equipo9;1650886237400;25.00;38.00;580.00;27.00
Equipo9;1650886249667;25.00;43.00;488.00;13.00
Equipo9;1650886252717;25.00;37.00;603.00;30.00
Equipo9;1650886265795;25.00;43.00;539.00;21.00
Equipo9;1650886268011;25.00;38.00;594.00;29.00
Equipo9;1650886283310;25.00;37.00;574.00;26.00
Equipo9;1650886298611;25.00;37.00;597.00;30.00
Equipo9;1650886313906;25.00;37.00;633.00;35.00
Equipo9;1650886329206;25.00;38.00;603.00;30.00
Equipo9;1650886344508;25.00;38.00;623.00;33.00
Equipo9;1650886359807;25.00;38.00;633.00;35.00
Equipo9;1650886375136;25.00;38.00;603.00;30.00
Equipo9;1650886390565;25.00;38.00;612.00;32.00
Equipo9;1650886405876;25.00;38.00;633.00;35.00
Equipo9;1650886421176;25.00;38.00;646.00;37.00
Equipo9;1650886439709;25.00;38.00;665.00;40.00
Equipo9;1650886455005;25.00;39.00;690.00;44.00
Equipo9;1650886470361;25.00;39.00;665.00;40.00
Equipo9;1650886485670;25.00;38.00;697.00;45.00
Equipo9;1650886500972;25.00;39.00;793.00;59.00
Equipo9;1650886516278;25.00;39.00;832.00;65.00
Equipo9;1650886531580;25.00;40.00;712.00;47.00
