id_nodo; timestamp; temperatura; humedad; CO2; volatiles
HKH;1682334382717;27.00;30.00;400.00;0.00
HKH;1682334417588;27.00;67.00;435.00;5.00
HKH;1682334433003;28.00;38.00;427.00;4.00
HKH;1682334463651;29.00;30.00;410.00;1.00
HKH;1682334479142;29.00;29.00;451.00;7.00
HKH;1682334494480;28.00;28.00;420.00;3.00
HKH;1682334509795;28.00;28.00;446.00;7.00
HKH;1682334534142;28.00;29.00;427.00;4.00
HKH;1682334545710;28.00;28.00;446.00;7.00
HKH;1682334567111;28.00;56.00;400.00;0.00
HKH;1682334811905;28.00;29.00;400.00;0.00
HKH;1682334827276;31.00;29.00;400.00;0.00
HKH;1682334842601;31.00;27.00;400.00;0.00
HKH;1682334873188;30.00;27.00;400.00;0.00
HKH;1682334888528;30.00;33.00;400.00;0.00
HKH;1682334903865;30.00;61.00;424.00;3.00
HKH;1682334919212;31.00;68.00;407.00;1.00
HKH;1682334949796;32.00;68.00;400.00;0.00
HKH;1682334965282;32.00;46.00;455.00;8.00
HKH;1682334980634;32.00;34.00;448.00;7.00
HKH;1682334995948;32.00;46.00;445.00;6.00
HKH;1682335011266;31.00;53.00;470.00;10.00
HKH;1682335041863;31.00;30.00;533.00;20.00
HKH;1682335057171;30.00;26.00;502.00;15.00
HKH;1682335072473;30.00;27.00;551.00;23.00
HKH;1682335087775;29.00;28.00;448.00;7.00
HKH;1682335103086;29.00;28.00;425.00;3.00
HKH;1682335118408;29.00;28.00;400.00;0.00
HKH;1682335133710;29.00;28.00;417.00;2.00
HKH;1682335149012;28.00;28.00;531.00;19.00
HKH;1682335164320;28.00;29.00;567.00;25.00
HKH;1682335179621;28.00;30.00;683.00;43.00
HKH;1682335210236;27.00;30.00;631.00;35.00
HKH;1682335240814;27.00;29.00;704.00;46.00
HKH;1682335256116;27.00;30.00;575.00;26.00
HKH;1682335286688;27.00;30.00;749.00;53.00
HKH;1682335301994;27.00;31.00;611.00;32.00
HKH;1682335317332;27.00;32.00;652.00;38.00
HKH;1682335332672;27.00;33.00;1012.00;93.00
HKH;1682335348016;27.00;36.00;652.00;38.00
HKH;1682335363336;27.00;34.00;531.00;19.00
HKH;1682335378636;27.00;32.00;623.00;33.00
HKH;1682335393939;27.00;33.00;531.00;19.00
HKH;1682335424508;27.00;34.00;493.00;14.00
HKH;1682335439811;27.00;33.00;531.00;19.00
HKH;1682335455113;27.00;32.00;543.00;21.00
HKH;1682335470430;27.00;33.00;459.00;8.00
HKH;1682335501007;27.00;32.00;529.00;19.00
HKH;1682335516341;27.00;33.00;493.00;14.00
HKH;1682335531645;27.00;32.00;543.00;21.00
HKH;1682335546953;27.00;32.00;438.00;5.00
HKH;1682335562275;27.00;30.00;491.00;13.00
HKH;1682335577577;27.00;31.00;485.00;12.00
HKH;1682335592869;27.00;31.00;459.00;8.00
HKH;1682335608174;27.00;32.00;493.00;14.00
HKH;1682335623480;27.00;32.00;501.00;15.00
HKH;1682335638783;27.00;32.00;454.00;8.00
HKH;1682335654100;27.00;31.00;441.00;6.00
HKH;1682335669402;27.00;31.00;463.00;9.00
HKH;1682335699981;27.00;30.00;480.00;12.00
HKH;1682335715276;27.00;31.00;459.00;8.00
HKH;1682335730576;27.00;31.00;491.00;13.00
HKH;1682335745885;27.00;32.00;424.00;3.00
HKH;1682335776470;27.00;65.00;417.00;2.00
HKH;1682335791773;28.00;52.00;480.00;12.00
HKH;1682335822376;29.00;31.00;417.00;2.00
HKH;1682335852950;28.00;30.00;466.00;10.00
HKH;1682335868253;28.00;30.00;506.00;16.00
HKH;1682335898820;28.00;31.00;493.00;14.00
HKH;1682335914121;28.00;31.00;549.00;22.00
HKH;1682335944700;27.00;32.00;459.00;8.00
HKH;1682335960014;27.00;30.00;501.00;15.00
HKH;1682335990589;27.00;30.00;514.00;17.00
HKH;1682336005890;27.00;31.00;491.00;13.00
HKH;1682336030984;27.00;31.00;400.00;0.00
HKH;1682336046288;27.00;31.00;400.00;0.00
HKH;1682336061590;27.00;31.00;461.00;9.00
HKH;1682336092170;27.00;32.00;426.00;3.00
HKH;1682336107473;27.00;33.00;408.00;1.00
HKH;1682336138050;27.00;32.00;403.00;0.00
HKH;1682336153352;27.00;32.00;410.00;1.00
HKH;1682336183929;26.00;32.00;422.00;3.00
HKH;1682336199268;26.00;32.00;439.00;5.00
HKH;1682336214570;26.00;33.00;439.00;5.00
HKH;1682336245150;26.00;33.00;400.00;0.00
HKH;1682336260543;26.00;32.00;400.00;0.00
HKH;1682336291123;26.00;32.00;480.00;12.00
HKH;1682336306425;26.00;31.00;417.00;2.00
HKH;1682336337007;26.00;32.00;475.00;11.00
