id_nodo; timestamp; temperatura; humedad; CO2; volatiles
INPUT;1650885608685;26.00;39.00;486.00;13.00
INPUT;1650885623986;26.00;38.00;436.00;5.00
INPUT;1650885639303;27.00;37.00;436.00;5.00
INPUT;1650885654946;27.00;37.00;426.00;3.00
INPUT;1650885670241;27.00;37.00;424.00;3.00
INPUT;1650885715053;27.00;36.00;455.00;8.00
INPUT;1650885730350;27.00;36.00;483.00;12.00
INPUT;1650885746027;27.00;36.00;515.00;17.00
INPUT;1650885761576;27.00;36.00;500.00;15.00
INPUT;1650885811812;27.00;35.00;415.00;2.00
INPUT;1650885827142;27.00;34.00;411.00;1.00
INPUT;1650885842495;27.00;34.00;400.00;0.00
INPUT;1650885857790;27.00;33.00;426.00;3.00
INPUT;1650885873140;27.00;33.00;414.00;2.00
INPUT;1650885888457;27.00;33.00;405.00;0.00
INPUT;1650885903838;27.00;33.00;417.00;2.00
INPUT;1650885919160;27.00;33.00;413.00;1.00
INPUT;1650885934526;27.00;33.00;413.00;1.00
INPUT;1650885965099;27.00;34.00;410.00;1.00
INPUT;1650885980519;27.00;35.00;482.00;12.00
INPUT;1650885995927;27.00;35.00;565.00;25.00
INPUT;1650886011326;27.00;37.00;461.00;9.00
INPUT;1650886042194;26.00;37.00;472.00;10.00
INPUT;1650886058024;26.00;37.00;531.00;19.00
INPUT;1650886073341;26.00;38.00;556.00;23.00
INPUT;1650886088635;26.00;40.00;569.00;25.00
INPUT;1650886103932;26.00;40.00;569.00;25.00
INPUT;1650886119228;25.00;40.00;465.00;9.00
INPUT;1650886135130;25.00;39.00;565.00;25.00
INPUT;1650886150429;25.00;40.00;565.00;25.00
INPUT;1650886165867;25.00;40.00;505.00;15.00
INPUT;1650886181406;25.00;40.00;505.00;15.00
INPUT;1650886197428;25.00;40.00;526.00;19.00
INPUT;1650886212722;25.00;41.00;553.00;23.00
INPUT;1650886228692;25.00;42.00;545.00;22.00
INPUT;1650886244833;25.00;42.00;556.00;23.00
INPUT;1650886260150;25.00;42.00;556.00;23.00
INPUT;1650886275496;25.00;42.00;569.00;25.00
