id_nodo; timestamp; temperatura; humedad; CO2; volatiles
JLL;1682334306879;26.00;38.00;400.00;0.00
JLL;1682334325460;26.00;33.00;436.00;5.00
JLL;1682334340818;26.00;33.00;423.00;3.00
JLL;1682334381888;26.00;33.00;400.00;0.00
JLL;1682334397253;26.00;34.00;403.00;0.00
JLL;1682334412547;26.00;34.00;408.00;1.00
JLL;1682334427880;26.00;33.00;476.00;11.00
JLL;1682334443297;26.00;35.00;417.00;2.00
JLL;1682334458662;26.00;34.00;560.00;24.00
JLL;1682334473978;28.00;95.00;459.00;8.00
JLL;1682334489468;28.00;95.00;473.00;11.00
JLL;1682334504844;27.00;70.00;462.00;9.00
JLL;1682334523261;27.00;44.00;599.00;30.00
JLL;1682334538634;27.00;39.00;706.00;46.00
JLL;1682334553976;27.00;39.00;594.00;29.00
JLL;1682334569286;27.00;35.00;546.00;22.00
JLL;1682334584612;27.00;33.00;452.00;7.00
JLL;1682334600099;27.00;33.00;417.00;2.00
JLL;1682334615564;27.00;32.00;702.00;46.00
JLL;1682334631178;27.00;34.00;565.00;25.00
JLL;1682334646616;27.00;34.00;452.00;7.00
JLL;1682334661938;27.00;32.00;452.00;7.00
JLL;1682334677233;27.00;32.00;492.00;14.00
JLL;1682334692532;27.00;33.00;536.00;20.00
JLL;1682334707831;27.00;32.00;442.00;6.00
JLL;1682334723129;27.00;31.00;411.00;1.00
JLL;1682334738435;27.00;31.00;524.00;18.00
JLL;1682334753729;27.00;32.00;408.00;1.00
JLL;1682334769028;27.00;31.00;438.00;5.00
JLL;1682334784322;27.00;32.00;492.00;14.00
JLL;1682334799673;27.00;34.00;570.00;25.00
JLL;1682334814978;27.00;34.00;524.00;18.00
JLL;1682334830277;27.00;33.00;620.00;33.00
JLL;1682334845571;27.00;34.00;501.00;15.00
JLL;1682334860861;27.00;35.00;530.00;19.00
JLL;1682334876173;27.00;36.00;620.00;33.00
JLL;1682334891467;27.00;36.00;486.00;13.00
JLL;1682334906764;27.00;34.00;515.00;17.00
JLL;1682334922064;27.00;33.00;442.00;6.00
JLL;1682334937358;27.00;33.00;411.00;1.00
JLL;1682334952658;27.00;33.00;400.00;0.00
JLL;1682334968063;26.00;33.00;400.00;0.00
