id_nodo; timestamp; temperatura; humedad; CO2; volatiles
KerryKaberga;1682334639743;27.00;32.00;417.00;2.00
KerryKaberga;1682334655781;27.00;33.00;776.00;57.00
KerryKaberga;1682334677635;27.00;36.00;403.00;0.00
KerryKaberga;1682334692942;27.00;34.00;427.00;4.00
KerryKaberga;1682334708243;27.00;34.00;411.00;1.00
KerryKaberga;1682334723543;27.00;33.00;411.00;1.00
KerryKaberga;1682334739028;27.00;33.00;408.00;1.00
KerryKaberga;1682334754337;27.00;32.00;408.00;1.00
KerryKaberga;1682334769634;27.00;33.00;408.00;1.00
KerryKaberga;1682334784971;27.00;33.00;447.00;7.00
KerryKaberga;1682334800310;27.00;34.00;427.00;4.00
KerryKaberga;1682334815655;27.00;34.00;414.00;2.00
KerryKaberga;1682334830960;27.00;33.00;495.00;14.00
KerryKaberga;1682334846284;27.00;34.00;451.00;7.00
KerryKaberga;1682334861575;27.00;33.00;443.00;6.00
KerryKaberga;1682334876883;27.00;33.00;427.00;4.00
KerryKaberga;1682334892192;27.00;33.00;433.00;5.00
KerryKaberga;1682334907489;27.00;33.00;423.00;3.00
KerryKaberga;1682334922789;27.00;33.00;451.00;7.00
KerryKaberga;1682334938087;27.00;33.00;433.00;5.00
KerryKaberga;1682334953387;27.00;33.00;411.00;1.00
KerryKaberga;1682334968786;27.00;33.00;640.00;36.00
KerryKaberga;1682334984164;27.00;33.00;640.00;36.00
KerryKaberga;1682334999547;26.00;33.00;451.00;7.00
KerryKaberga;1682335014866;27.00;33.00;533.00;20.00
KerryKaberga;1682335030237;27.00;33.00;451.00;7.00
KerryKaberga;1682335045568;27.00;33.00;470.00;10.00
