id_nodo; timestamp; temperatura; humedad; CO2; volatiles
Lasardillasexplosivas;1682335093556;27.00;33.00;478.00;11.00
Lasardillasexplosivas;1682335108879;26.00;33.00;413.00;1.00
Lasardillasexplosivas;1682335124260;26.00;33.00;413.00;1.00
Lasardillasexplosivas;1682335139604;26.00;33.00;400.00;0.00
Lasardillasexplosivas;1682335154939;26.00;33.00;402.00;0.00
Lasardillasexplosivas;1682335170248;26.00;33.00;488.00;13.00
Lasardillasexplosivas;1682335185542;26.00;33.00;403.00;0.00
Lasardillasexplosivas;1682335200836;26.00;33.00;403.00;0.00
Lasardillasexplosivas;1682335216131;26.00;33.00;415.00;2.00
Lasardillasexplosivas;1682335231426;26.00;33.00;460.00;9.00
Lasardillasexplosivas;1682335246720;26.00;33.00;455.00;8.00
Lasardillasexplosivas;1682335262014;26.00;33.00;472.00;10.00
Lasardillasexplosivas;1682335277310;26.00;33.00;553.00;23.00
Lasardillasexplosivas;1682335292598;26.00;35.00;531.00;19.00
Lasardillasexplosivas;1682335307892;26.00;33.00;1065.00;101.00
Lasardillasexplosivas;1682335323186;26.00;34.00;439.00;5.00
Lasardillasexplosivas;1682335338481;26.00;34.00;413.00;1.00
Lasardillasexplosivas;1682335353779;27.00;85.00;589.00;28.00
Lasardillasexplosivas;1682335369078;27.00;40.00;605.00;31.00
Lasardillasexplosivas;1682335384389;27.00;35.00;413.00;1.00
Lasardillasexplosivas;1682335399685;27.00;33.00;400.00;0.00
Lasardillasexplosivas;1682335414980;27.00;32.00;409.00;1.00
Lasardillasexplosivas;1682335430272;27.00;33.00;426.00;3.00
Lasardillasexplosivas;1682335445566;27.00;33.00;454.00;8.00
Lasardillasexplosivas;1682335460913;27.00;34.00;406.00;0.00
Lasardillasexplosivas;1682335476214;27.00;33.00;417.00;2.00
Lasardillasexplosivas;1682335491507;27.00;33.00;428.00;4.00
Lasardillasexplosivas;1682335506800;27.00;33.00;426.00;3.00
Lasardillasexplosivas;1682335522097;27.00;33.00;454.00;8.00
Lasardillasexplosivas;1682335537391;27.00;34.00;830.00;65.00
Lasardillasexplosivas;1682335552714;27.00;36.00;549.00;22.00
Lasardillasexplosivas;1682335568011;27.00;37.00;501.00;15.00
Lasardillasexplosivas;1682335583324;27.00;35.00;492.00;14.00
Lasardillasexplosivas;1682335598620;26.00;34.00;487.00;13.00
Lasardillasexplosivas;1682335613958;27.00;36.00;457.00;8.00
Lasardillasexplosivas;1682335629258;26.00;35.00;448.00;7.00
Lasardillasexplosivas;1682335644572;26.00;34.00;462.00;9.00
Lasardillasexplosivas;1682335659865;26.00;34.00;481.00;12.00
Lasardillasexplosivas;1682335677696;26.00;34.00;620.00;33.00
Lasardillasexplosivas;1682335692991;26.00;34.00;578.00;27.00
Lasardillasexplosivas;1682335708278;26.00;34.00;574.00;26.00
Lasardillasexplosivas;1682335723575;27.00;95.00;508.00;16.00
Lasardillasexplosivas;1682335738876;28.00;52.00;462.00;9.00
Lasardillasexplosivas;1682335754169;28.00;35.00;428.00;4.00
Lasardillasexplosivas;1682335769469;28.00;33.00;414.00;2.00
Lasardillasexplosivas;1682335784764;29.00;32.00;439.00;5.00
Lasardillasexplosivas;1682335800057;29.00;30.00;466.00;10.00
Lasardillasexplosivas;1682335815351;29.00;32.00;477.00;11.00
Lasardillasexplosivas;1682335830727;29.00;31.00;457.00;8.00
Lasardillasexplosivas;1682335846029;29.00;31.00;508.00;16.00
Lasardillasexplosivas;1682335861326;29.00;31.00;561.00;24.00
Lasardillasexplosivas;1682335876626;29.00;30.00;523.00;18.00
Lasardillasexplosivas;1682335891914;29.00;30.00;517.00;17.00
Lasardillasexplosivas;1682335907213;29.00;29.00;517.00;17.00
Lasardillasexplosivas;1682335922516;30.00;29.00;553.00;23.00
Lasardillasexplosivas;1682335937817;30.00;29.00;531.00;19.00
Lasardillasexplosivas;1682335953125;30.00;29.00;523.00;18.00
Lasardillasexplosivas;1682335968439;30.00;29.00;517.00;17.00
Lasardillasexplosivas;1682335983733;30.00;29.00;497.00;14.00
Lasardillasexplosivas;1682335999027;30.00;28.00;508.00;16.00
Lasardillasexplosivas;1682336014321;30.00;28.00;501.00;15.00
Lasardillasexplosivas;1682336029616;30.00;27.00;526.00;19.00
Lasardillasexplosivas;1682336044950;30.00;27.00;501.00;15.00
Lasardillasexplosivas;1682336060244;30.00;27.00;508.00;16.00
Lasardillasexplosivas;1682336075542;30.00;27.00;501.00;15.00
Lasardillasexplosivas;1682336090839;30.00;27.00;561.00;24.00
Lasardillasexplosivas;1682336106142;30.00;27.00;531.00;19.00
Lasardillasexplosivas;1682336121435;30.00;28.00;1504.00;174.00
Lasardillasexplosivas;1682336136787;30.00;30.00;540.00;21.00
Lasardillasexplosivas;1682336152078;30.00;27.00;599.00;30.00
Lasardillasexplosivas;1682336167390;30.00;29.00;567.00;25.00
Lasardillasexplosivas;1682336182685;30.00;27.00;543.00;21.00
Lasardillasexplosivas;1682336197984;30.00;27.00;549.00;22.00
Lasardillasexplosivas;1682336213282;30.00;28.00;549.00;22.00
Lasardillasexplosivas;1682336228576;30.00;27.00;531.00;19.00
Lasardillasexplosivas;1682336243872;30.00;28.00;578.00;27.00
Lasardillasexplosivas;1682336259211;30.00;27.00;945.00;83.00
Lasardillasexplosivas;1682336274518;30.00;27.00;553.00;23.00
Lasardillasexplosivas;1682336289812;30.00;27.00;501.00;15.00
Lasardillasexplosivas;1682336305105;30.00;27.00;945.00;83.00
Lasardillasexplosivas;1682336320408;30.00;27.00;733.00;50.00
Lasardillasexplosivas;1682336335701;30.00;28.00;806.00;61.00
