id_nodo; timestamp; temperatura; humedad; CO2; volatiles
LosManolos;1650885400081;25.00;44.00;434.00;5.00
LosManolos;1650885415414;25.00;41.00;445.00;6.00
LosManolos;1650885433722;25.00;41.00;454.00;8.00
LosManolos;1650885449552;25.00;41.00;436.00;5.00
LosManolos;1650885499577;25.00;41.00;425.00;3.00
LosManolos;1650885514966;25.00;41.00;442.00;6.00
LosManolos;1650885530289;25.00;41.00;411.00;1.00
LosManolos;1650885545696;25.00;41.00;403.00;0.00
LosManolos;1650885561004;25.00;44.00;2676.00;2159.00
LosManolos;1650885576323;28.00;75.00;733.00;50.00
LosManolos;1650885591650;30.00;40.00;749.00;53.00
LosManolos;1650885606951;30.00;34.00;679.00;42.00
LosManolos;1650885622264;30.00;34.00;679.00;42.00
LosManolos;1650885652855;29.00;35.00;631.00;35.00
LosManolos;1650885663383;25.00;39.00;422.00;3.00
LosManolos;1650885678678;25.00;39.00;457.00;8.00
LosManolos;1650885683431;28.00;39.00;2249.00;1239.00
LosManolos;1650885693964;25.00;40.00;428.00;4.00
LosManolos;1650885698719;30.00;73.00;672.00;41.00
LosManolos;1650885709638;25.00;41.00;462.00;9.00
LosManolos;1650885714035;32.00;40.00;600.00;30.00
LosManolos;1650885724935;25.00;41.00;466.00;10.00
LosManolos;1650885729361;32.00;32.00;679.00;42.00
LosManolos;1650885740232;25.00;41.00;417.00;2.00
LosManolos;1650885744664;32.00;31.00;600.00;30.00
LosManolos;1650885755541;25.00;40.00;417.00;2.00
LosManolos;1650885759989;31.00;33.00;631.00;35.00
LosManolos;1650885771337;25.00;41.00;420.00;3.00
LosManolos;1650885775297;30.00;32.00;548.00;22.00
LosManolos;1650885786864;25.00;40.00;403.00;0.00
LosManolos;1650885790684;29.00;33.00;536.00;20.00
LosManolos;1650885802160;25.00;39.00;452.00;7.00
LosManolos;1650885805990;29.00;34.00;561.00;24.00
LosManolos;1650885817455;25.00;40.00;473.00;11.00
LosManolos;1650885821309;29.00;36.00;659.00;39.00
LosManolos;1650885833149;25.00;40.00;653.00;38.00
LosManolos;1650885836613;28.00;53.00;1178.00;118.00
LosManolos;1650885848451;25.00;62.00;565.00;25.00
LosManolos;1650885851916;29.00;78.00;1822.00;477.00
LosManolos;1650885863747;31.00;95.00;569.00;25.00
LosManolos;1650885867215;30.00;70.00;1687.00;326.00
LosManolos;1650885879074;29.00;95.00;514.00;17.00
LosManolos;1650885882517;31.00;76.00;885.00;73.00
LosManolos;1650885894404;28.00;95.00;949.00;83.00
LosManolos;1650885897817;31.00;41.00;770.00;56.00
LosManolos;1650885910111;29.00;95.00;526.00;19.00
LosManolos;1650885913120;31.00;35.00;933.00;81.00
LosManolos;1650885925913;29.00;95.00;646.00;37.00
LosManolos;1650885928428;30.00;35.00;2281.00;1319.00
LosManolos;1650885941959;28.00;95.00;1528.00;191.00
LosManolos;1650885943726;31.00;68.00;1810.00;461.00
LosManolos;1650885957428;32.00;95.00;637.00;36.00
LosManolos;1650885959033;33.00;69.00;574.00;26.00
LosManolos;1650885972966;31.00;95.00;536.00;20.00
LosManolos;1650885974330;33.00;34.00;567.00;25.00
LosManolos;1650885988562;29.00;95.00;637.00;36.00
LosManolos;1650885989629;33.00;30.00;530.00;19.00
LosManolos;1650886003946;29.00;91.00;2633.00;2067.00
LosManolos;1650886004923;32.00;29.00;600.00;30.00
LosManolos;1650886019269;29.00;95.00;526.00;19.00
LosManolos;1650886020221;31.00;30.00;463.00;9.00
LosManolos;1650886034564;30.00;95.00;463.00;9.00
LosManolos;1650886035527;30.00;30.00;536.00;20.00
LosManolos;1650886050417;29.00;59.00;540.00;21.00
LosManolos;1650886051022;29.00;32.00;536.00;20.00
LosManolos;1650886065738;28.00;26.00;524.00;18.00
LosManolos;1650886066331;29.00;33.00;497.00;14.00
LosManolos;1650886081257;28.00;43.00;463.00;9.00
LosManolos;1650886081649;28.00;33.00;424.00;3.00
LosManolos;1650886096678;28.00;40.00;448.00;7.00
LosManolos;1650886097095;28.00;34.00;492.00;14.00
LosManolos;1650886112401;27.00;34.00;463.00;9.00
LosManolos;1650886112757;27.00;37.00;445.00;6.00
LosManolos;1650886127707;27.00;34.00;454.00;8.00
LosManolos;1650886129270;27.00;36.00;454.00;8.00
LosManolos;1650886143024;27.00;35.00;445.00;6.00
LosManolos;1650886144695;27.00;36.00;438.00;5.00
LosManolos;1650886158353;26.00;36.00;450.00;7.00
LosManolos;1650886159990;27.00;35.00;491.00;13.00
LosManolos;1650886173738;26.00;36.00;492.00;14.00
LosManolos;1650886175532;26.00;37.00;491.00;13.00
LosManolos;1650886191775;26.00;38.00;475.00;11.00
LosManolos;1650886207399;26.00;38.00;466.00;10.00
LosManolos;1650886223025;26.00;38.00;463.00;9.00
LosManolos;1650886238348;26.00;38.00;466.00;10.00
LosManolos;1650886253877;26.00;38.00;503.00;15.00
LosManolos;1650886269536;26.00;39.00;524.00;18.00
