id_nodo; timestamp; temperatura; humedad; CO2; volatiles
MANM;1650885622874;25.00;42.00;451.00;7.00
MANM;1650885639109;24.00;44.00;434.00;5.00
MANM;1650885654844;24.00;43.00;414.00;2.00
MANM;1650885670142;24.00;43.00;400.00;0.00
MANM;1650885700697;24.00;43.00;421.00;3.00
MANM;1650885716737;24.00;43.00;414.00;2.00
MANM;1650885733588;24.00;43.00;405.00;0.00
MANM;1650885748888;24.00;42.00;405.00;0.00
MANM;1650885764197;24.00;42.00;477.00;11.00
MANM;1650885779492;24.00;43.00;482.00;12.00
MANM;1650885794787;24.00;43.00;411.00;1.00
MANM;1650885810418;24.00;42.00;445.00;6.00
MANM;1650885826255;24.00;43.00;418.00;2.00
MANM;1650885841549;24.00;43.00;425.00;3.00
MANM;1650885856843;24.00;42.00;421.00;3.00
MANM;1650885872144;24.00;43.00;411.00;1.00
MANM;1650885887442;24.00;43.00;455.00;8.00
MANM;1650885903013;24.00;42.00;448.00;7.00
MANM;1650885918320;24.00;43.00;560.00;24.00
MANM;1650885933637;24.00;43.00;448.00;7.00
MANM;1650885948949;24.00;43.00;428.00;4.00
MANM;1650885964247;24.00;43.00;414.00;2.00
MANM;1650885979553;24.00;43.00;408.00;1.00
MANM;1650885994837;24.00;43.00;456.00;8.00
MANM;1650886010148;24.00;41.00;506.00;16.00
MANM;1650886025443;24.00;43.00;493.00;14.00
MANM;1650886040738;24.00;43.00;506.00;16.00
MANM;1650886056176;24.00;42.00;527.00;19.00
MANM;1650886071470;24.00;43.00;496.00;14.00
MANM;1650886086764;24.00;42.00;515.00;17.00
MANM;1650886102058;24.00;42.00;656.00;39.00
MANM;1650886117889;24.00;43.00;580.00;27.00
MANM;1650886133566;24.00;43.00;553.00;23.00
MANM;1650886148866;24.00;42.00;580.00;27.00
MANM;1650886164535;24.00;43.00;599.00;30.00
MANM;1650886180465;24.00;43.00;536.00;20.00
MANM;1650886196402;24.00;43.00;551.00;23.00
MANM;1650886211716;24.00;43.00;646.00;37.00
MANM;1650886227016;24.00;43.00;599.00;30.00
MANM;1650886242366;24.00;43.00;592.00;29.00
MANM;1650886258199;24.00;44.00;566.00;25.00
MANM;1650886273616;24.00;43.00;605.00;31.00
