id_nodo; timestamp; temperatura; humedad; CO2; volatiles
MAS;1682335395018;26.00;36.00;450.00;7.00
MAS;1682335410312;26.00;36.00;503.00;15.00
MAS;1682335440890;26.00;35.00;686.00;43.00
MAS;1682335456199;26.00;39.00;487.00;13.00
MAS;1682335471519;27.00;36.00;477.00;11.00
MAS;1682335486819;27.00;35.00;519.00;18.00
MAS;1682335517398;27.00;35.00;589.00;28.00
MAS;1682335532700;27.00;37.00;519.00;18.00
MAS;1682335563278;27.00;40.00;813.00;62.00
MAS;1682335578580;27.00;40.00;537.00;20.00
MAS;1682335593873;27.00;35.00;519.00;18.00
MAS;1682335609175;27.00;37.00;575.00;26.00
MAS;1682335639754;27.00;36.00;442.00;6.00
MAS;1682335655081;27.00;34.00;460.00;9.00
MAS;1682335670386;27.00;35.00;498.00;14.00
MAS;1682335685692;27.00;35.00;456.00;8.00
MAS;1682335700999;27.00;35.00;456.00;8.00
MAS;1682335716295;27.00;34.00;477.00;11.00
MAS;1682335746866;27.00;34.00;477.00;11.00
MAS;1682335762165;27.00;35.00;477.00;11.00
MAS;1682335792742;27.00;34.00;477.00;11.00
MAS;1682335808042;27.00;37.00;477.00;11.00
MAS;1682335838617;27.00;33.00;477.00;11.00
MAS;1682335853917;27.00;36.00;477.00;11.00
MAS;1682335899748;27.00;34.00;477.00;11.00
MAS;1682335915044;27.00;34.00;477.00;11.00
MAS;1682335945615;27.00;34.00;477.00;11.00
MAS;1682335960928;27.00;37.00;477.00;11.00
MAS;1682335991499;27.00;34.00;477.00;11.00
MAS;1682336006805;27.00;32.00;477.00;11.00
MAS;1682336037377;26.00;33.00;477.00;11.00
MAS;1682336052676;26.00;33.00;477.00;11.00
MAS;1682336067976;26.00;35.00;477.00;11.00
MAS;1682336083282;26.00;36.00;477.00;11.00
MAS;1682336098587;26.00;37.00;477.00;11.00
MAS;1682336113887;26.00;37.00;477.00;11.00
MAS;1682336129184;26.00;36.00;477.00;11.00
MAS;1682336159874;26.00;34.00;477.00;11.00
MAS;1682336175229;26.00;34.00;477.00;11.00
MAS;1682336190656;25.00;35.00;477.00;11.00
MAS;1682336205957;25.00;34.00;477.00;11.00
MAS;1682336221262;25.00;36.00;477.00;11.00
MAS;1682336236636;25.00;36.00;477.00;11.00
MAS;1682336251945;25.00;35.00;477.00;11.00
MAS;1682336297788;25.00;36.00;477.00;11.00
MAS;1682336313090;25.00;36.00;477.00;11.00
MAS;1682336343667;25.00;37.00;477.00;11.00
MAS;1682336358964;25.00;37.00;477.00;11.00
MAS;1682336389542;25.00;36.00;477.00;11.00
MAS;1682336404842;25.00;36.00;477.00;11.00
MAS;1682336435415;26.00;37.00;477.00;11.00
MAS;1682336450714;26.00;37.00;477.00;11.00
MAS;1682336481304;25.00;34.00;477.00;11.00
MAS;1682336496610;25.00;36.00;477.00;11.00
MAS;1682336511972;25.00;36.00;477.00;11.00
MAS;1682336530543;25.00;36.00;477.00;11.00
MAS;1682336596701;25.00;35.00;477.00;11.00
MAS;1682336611998;25.00;36.00;477.00;11.00
