id_nodo; timestamp; temperatura; humedad; CO2; volatiles
MPA;1682334655206;26.00;36.00;400.00;0.00
MPA;1682334670501;26.00;37.00;400.00;0.00
MPA;1682334685808;26.00;36.00;400.00;0.00
MPA;1682334701113;26.00;36.00;400.00;0.00
MPA;1682334716411;26.00;35.00;415.00;2.00
MPA;1682334731719;26.00;36.00;435.00;5.00
MPA;1682334747028;26.00;40.00;539.00;21.00
MPA;1682334762331;26.00;41.00;456.00;8.00
MPA;1682334792914;26.00;36.00;1393.00;151.00
MPA;1682334808216;26.00;38.00;808.00;62.00
MPA;1682334838793;26.00;36.00;551.00;23.00
MPA;1682334854138;27.00;35.00;1408.00;153.00
MPA;1682334869440;27.00;36.00;951.00;83.00
MPA;1682334900018;27.00;37.00;575.00;26.00
MPA;1682334915327;27.00;35.00;444.00;6.00
MPA;1682334945903;27.00;35.00;1559.00;212.00
MPA;1682334961254;27.00;34.00;780.00;57.00
MPA;1682334976616;27.00;36.00;518.00;17.00
MPA;1682334991918;27.00;34.00;473.00;11.00
MPA;1682335022497;27.00;34.00;624.00;34.00
MPA;1682335037822;27.00;35.00;564.00;24.00
MPA;1682335053133;27.00;35.00;460.00;9.00
MPA;1682335068442;27.00;35.00;425.00;3.00
MPA;1682335083744;27.00;35.00;400.00;0.00
MPA;1682335099060;27.00;34.00;400.00;0.00
MPA;1682335114394;27.00;34.00;417.00;2.00
MPA;1682335129725;27.00;33.00;574.00;26.00
MPA;1682335145031;27.00;34.00;553.00;23.00
MPA;1682335160353;27.00;35.00;553.00;23.00
MPA;1682335175662;27.00;35.00;570.00;25.00
MPA;1682335190966;27.00;35.00;657.00;39.00
MPA;1682335206267;27.00;36.00;454.00;8.00
MPA;1682335221572;27.00;34.00;422.00;3.00
MPA;1682335236880;26.00;33.00;436.00;5.00
MPA;1682335252182;27.00;33.00;436.00;5.00
MPA;1682335267483;26.00;33.00;454.00;8.00
MPA;1682335298055;26.00;34.00;459.00;8.00
MPA;1682335313358;26.00;33.00;623.00;33.00
MPA;1682335328666;26.00;36.00;492.00;14.00
MPA;1682335344024;26.00;35.00;657.00;39.00
MPA;1682335359325;26.00;37.00;597.00;30.00
MPA;1682335389908;27.00;38.00;597.00;30.00
MPA;1682335405201;27.00;35.00;1389.00;150.00
MPA;1682335420511;27.00;38.00;840.00;67.00
MPA;1682335435812;27.00;36.00;1432.00;157.00
MPA;1682335466405;27.00;35.00;643.00;37.00
MPA;1682335481708;27.00;36.00;527.00;19.00
MPA;1682335497015;27.00;36.00;515.00;17.00
MPA;1682335512317;27.00;35.00;580.00;27.00
MPA;1682335542894;27.00;34.00;515.00;17.00
MPA;1682335558199;27.00;34.00;574.00;26.00
MPA;1682335588765;27.00;34.00;527.00;19.00
MPA;1682335604096;27.00;34.00;454.00;8.00
MPA;1682335619398;27.00;34.00;444.00;6.00
MPA;1682335634703;27.00;34.00;400.00;0.00
MPA;1682335650017;27.00;33.00;409.00;1.00
MPA;1682335665320;27.00;33.00;435.00;5.00
MPA;1682335680629;26.00;34.00;478.00;11.00
MPA;1682335695929;26.00;36.00;470.00;10.00
MPA;1682335711228;26.00;35.00;478.00;11.00
MPA;1682335726529;26.00;35.00;441.00;6.00
MPA;1682335757110;26.00;35.00;488.00;13.00
MPA;1682335772418;26.00;35.00;548.00;22.00
MPA;1682335802999;26.00;37.00;567.00;25.00
MPA;1682335818307;26.00;36.00;536.00;20.00
MPA;1682335833609;26.00;36.00;531.00;19.00
MPA;1682335848910;26.00;35.00;626.00;34.00
MPA;1682335879487;26.00;37.00;612.00;32.00
MPA;1682335894777;26.00;36.00;567.00;25.00
MPA;1682335925355;26.00;37.00;752.00;53.00
MPA;1682335940656;26.00;36.00;744.00;52.00
MPA;1682335955971;26.00;37.00;570.00;25.00
MPA;1682335971272;26.00;36.00;548.00;22.00
MPA;1682336001849;26.00;36.00;646.00;37.00
MPA;1682336017150;26.00;36.00;551.00;23.00
MPA;1682336047729;26.00;38.00;626.00;34.00
MPA;1682336063035;26.00;37.00;612.00;32.00
MPA;1682336078341;27.00;35.00;531.00;19.00
MPA;1682336093642;26.00;35.00;503.00;15.00
MPA;1682336124215;26.00;36.00;577.00;26.00
MPA;1682336139517;26.00;36.00;584.00;28.00
MPA;1682336170190;26.00;35.00;519.00;18.00
MPA;1682336185658;26.00;35.00;542.00;21.00
MPA;1682336200988;26.00;35.00;603.00;30.00
MPA;1682336216290;26.00;35.00;597.00;30.00
MPA;1682336231592;26.00;35.00;646.00;37.00
MPA;1682336246922;26.00;37.00;640.00;36.00
MPA;1682336262231;26.00;37.00;768.00;56.00
MPA;1682336277532;27.00;38.00;671.00;41.00
MPA;1682336292836;27.00;38.00;1032.00;96.00
MPA;1682336308137;27.00;36.00;603.00;30.00
MPA;1682336323444;27.00;35.00;551.00;23.00
