id_nodo; timestamp; temperatura; humedad; CO2; volatiles
NOMBRE;1650885312511;26.00;38.00;400.00;0.00
NOMBRE;1650885327826;26.00;40.00;408.00;1.00
NOMBRE;1650885343181;26.00;40.00;400.00;0.00
NOMBRE;1650885358489;26.00;40.00;400.00;0.00
NOMBRE;1650885373789;26.00;40.00;409.00;1.00
NOMBRE;1650885389082;26.00;40.00;411.00;1.00
NOMBRE;1650885404379;26.00;40.00;439.00;5.00
NOMBRE;1650885419711;26.00;40.00;409.00;1.00
NOMBRE;1650885435011;26.00;40.00;567.00;25.00
NOMBRE;1650885450651;26.00;40.00;615.00;32.00
NOMBRE;1650885466200;26.00;42.00;426.00;3.00
NOMBRE;1650885486797;26.00;41.00;435.00;5.00
NOMBRE;1650885502116;26.00;41.00;457.00;8.00
NOMBRE;1650885517433;26.00;76.00;476.00;11.00
NOMBRE;1650885532761;29.00;80.00;417.00;2.00
NOMBRE;1650885548076;30.00;40.00;457.00;8.00
NOMBRE;1650885563591;30.00;33.00;463.00;9.00
NOMBRE;1650885578906;29.00;33.00;925.00;79.00
NOMBRE;1650885594225;29.00;36.00;821.00;64.00
NOMBRE;1650885609528;29.00;35.00;815.00;63.00
NOMBRE;1650885624841;28.00;35.00;798.00;60.00
NOMBRE;1650885640159;28.00;36.00;780.00;57.00
NOMBRE;1650885655466;27.00;35.00;752.00;53.00
NOMBRE;1650885670769;27.00;36.00;798.00;60.00
NOMBRE;1650885686072;28.00;77.00;671.00;41.00
NOMBRE;1650885701354;30.00;87.00;744.00;52.00
NOMBRE;1650885716665;31.00;50.00;791.00;59.00
NOMBRE;1650885733816;31.00;46.00;798.00;60.00
NOMBRE;1650885749122;31.00;42.00;772.00;56.00
NOMBRE;1650885764447;31.00;32.00;706.00;46.00
NOMBRE;1650885779753;30.00;32.00;666.00;40.00
NOMBRE;1650885795085;30.00;31.00;666.00;40.00
NOMBRE;1650885810382;29.00;32.00;671.00;41.00
NOMBRE;1650885825686;29.00;33.00;626.00;34.00
NOMBRE;1650885840989;28.00;33.00;577.00;26.00
NOMBRE;1650885856294;28.00;33.00;618.00;33.00
NOMBRE;1650885871598;27.00;33.00;653.00;38.00
NOMBRE;1650885886904;27.00;35.00;603.00;30.00
NOMBRE;1650885902786;27.00;35.00;569.00;25.00
NOMBRE;1650885918089;27.00;36.00;569.00;25.00
NOMBRE;1650885933400;26.00;36.00;637.00;36.00
