id_nodo; timestamp; temperatura; humedad; CO2; volatiles
PEP;1650885356310;25.00;43.00;408.00;1.00
PEP;1650885371607;24.00;42.00;432.00;4.00
PEP;1650885386897;24.00;42.00;436.00;5.00
PEP;1650885402539;24.00;42.00;446.00;7.00
PEP;1650885417840;24.00;42.00;461.00;9.00
PEP;1650885433295;24.00;42.00;436.00;5.00
PEP;1650885449114;24.00;41.00;545.00;22.00
Pep;1650885450734;24.00;41.00;414.00;2.00
Pep;1650885466991;24.00;41.00;414.00;2.00
PEP;1650885473750;24.00;42.00;560.00;24.00
Pep;1650885482639;24.00;42.00;417.00;2.00
Pep;1650885498093;24.00;50.00;426.00;3.00
Pep;1650885513417;24.00;43.00;426.00;3.00
PEP;1650885521629;24.00;42.00;520.00;18.00
Pep;1650885529265;25.00;42.00;433.00;5.00
PEP;1650885539951;24.00;42.00;423.00;3.00
Pep;1650885544583;25.00;42.00;426.00;3.00
PEP;1650885556380;24.00;42.00;506.00;16.00
Pep;1650885560291;25.00;52.00;1874.00;547.00
PEP;1650885571690;24.00;44.00;410.00;1.00
Pep;1650885576519;26.00;95.00;643.00;37.00
PEP;1650885587081;24.00;42.00;588.00;28.00
Pep;1650885592011;27.00;48.00;650.00;38.00
PEP;1650885602378;24.00;43.00;463.00;9.00
Pep;1650885607334;27.00;39.00;643.00;37.00
PEP;1650885617675;24.00;43.00;410.00;1.00
Pep;1650885622637;27.00;37.00;605.00;31.00
PEP;1650885633453;24.00;42.00;519.00;18.00
Pep;1650885638525;27.00;37.00;599.00;30.00
PEP;1650885648752;24.00;43.00;426.00;3.00
Pep;1650885654055;27.00;37.00;578.00;27.00
PEP;1650885664087;24.00;42.00;426.00;3.00
PEP;1650885679396;25.00;41.00;825.00;64.00
Pep;1650885684627;27.00;38.00;552.00;23.00
PEP;1650885695572;25.00;41.00;423.00;3.00
PEP;1650885710876;25.00;41.00;426.00;3.00
PEP;1650885726910;25.00;41.00;423.00;3.00
PEP;1650885742210;25.00;41.00;455.00;8.00
PEP;1650885757577;25.00;41.00;418.00;2.00
PEP;1650885772888;25.00;41.00;418.00;2.00
PEP;1650885788294;25.00;64.00;575.00;26.00
PEP;1650885803655;26.00;59.00;466.00;10.00
PEP;1650885818959;27.00;40.00;417.00;2.00
PEP;1650885834806;27.00;36.00;422.00;3.00
PEP;1650885850618;27.00;36.00;400.00;0.00
PEP;1650885866247;27.00;35.00;415.00;2.00
PEP;1650885881780;27.00;36.00;428.00;4.00
PEP;1650885897102;28.00;61.00;441.00;6.00
PEP;1650885912399;30.00;50.00;454.00;8.00
PEP;1650885927717;30.00;35.00;475.00;11.00
PEP;1650885943012;30.00;32.00;485.00;12.00
PEP;1650885958839;30.00;32.00;454.00;8.00
PEP;1650885974524;30.00;32.00;424.00;3.00
PEP;1650885989960;29.00;31.00;506.00;16.00
PEP;1650886005263;29.00;31.00;400.00;0.00
PEP;1650886020655;28.00;30.00;442.00;6.00
PEP;1650886036242;28.00;32.00;400.00;0.00
PEP;1650886052166;28.00;33.00;475.00;11.00
PEP;1650886067464;28.00;58.00;485.00;12.00
PEP;1650886083110;30.00;36.00;427.00;4.00
PEP;1650886098434;30.00;31.00;434.00;5.00
PEP;1650886113954;30.00;31.00;452.00;7.00
PEP;1650886129679;29.00;32.00;442.00;6.00
PEP;1650886145002;29.00;31.00;488.00;13.00
PEP;1650886160325;28.00;32.00;462.00;9.00
PEP;1650886175653;28.00;33.00;452.00;7.00
PEP;1650886191469;27.00;32.00;459.00;8.00
PEP;1650886207193;27.00;34.00;480.00;12.00
PEP;1650886223030;27.00;34.00;452.00;7.00
PEP;1650886238344;27.00;35.00;462.00;9.00
PEP;1650886253649;27.00;36.00;480.00;12.00
PEP;1650886268949;26.00;36.00;466.00;10.00
