id_nodo; timestamp; temperatura; humedad; CO2; volatiles
PEP2;1650885734952;26.00;38.00;413.00;1.00
PEP2;1650885750469;26.00;39.00;417.00;2.00
PEP2;1650885766002;26.00;77.00;417.00;2.00
PEP2;1650885781518;28.00;95.00;400.00;0.00
PEP2;1650885797244;29.00;93.00;400.00;0.00
PEP2;1650885812785;30.00;65.00;584.00;28.00
PEP2;1650885828102;30.00;48.00;774.00;56.00
PEP2;1650885843741;30.00;57.00;552.00;23.00
PEP2;1650885859050;29.00;38.00;530.00;19.00
PEP2;1650885874353;29.00;35.00;491.00;13.00
PEP2;1650885889699;28.00;35.00;456.00;8.00
PEP2;1650885905535;28.00;82.00;643.00;37.00
PEP2;1650885920839;30.00;59.00;476.00;11.00
PEP2;1650885936610;30.00;36.00;456.00;8.00
PEP2;1650885951912;30.00;33.00;1288.00;135.00
PEP2;1650885967252;29.00;60.00;438.00;5.00
PEP2;1650885983418;29.00;39.00;416.00;2.00
PEP2;1650885999117;29.00;35.00;407.00;1.00
PEP2;1650886014415;28.00;34.00;400.00;0.00
PEP2;1650886030370;28.00;34.00;428.00;4.00
PEP2;1650886045666;27.00;33.00;415.00;2.00
PEP2;1650886061210;27.00;34.00;424.00;3.00
PEP2;1650886077247;27.00;35.00;438.00;5.00
PEP2;1650886092544;26.00;36.00;424.00;3.00
PEP2;1650886108535;26.00;36.00;424.00;4.00
PEP2;1650886125259;26.00;37.00;421.00;3.00
PEP2;1650886140609;26.00;37.00;433.00;5.00
PEP2;1650886156209;26.00;38.00;438.00;5.00
PEP2;1650886187677;25.00;38.00;424.00;3.00
PEP2;1650886203802;25.00;38.00;421.00;3.00
PEP2;1650886219097;25.00;39.00;407.00;1.00
PEP2;1650886234653;25.00;39.00;415.00;2.00
PEP2;1650886266149;25.00;39.00;424.00;3.00
