id_nodo; timestamp; temperatura; humedad; CO2; volatiles
TETAS-TETITAS-TETAZAS-TETORRAS-MELONES-MAMELUNGAS-BUFAS-BUBILONGAS-BAKUGANS;1682335366428;27.00;32.00;415.00;2.00
TETAS-TETITAS-TETAZAS-TETORRAS-MELONES-MAMELUNGAS-BUFAS-BUBILONGAS-BAKUGANS;1682335381731;27.00;31.00;405.00;0.00
TETAS-TETITAS-TETAZAS-TETORRAS-MELONES-MAMELUNGAS-BUFAS-BUBILONGAS-BAKUGANS;1682335397033;27.00;31.00;487.00;13.00
TETAS-TETITAS-TETAZAS-TETORRAS-MELONES-MAMELUNGAS-BUFAS-BUBILONGAS-BAKUGANS;1682335412325;27.00;32.00;553.00;23.00
TETAS-TETITAS-TETAZAS-TETORRAS-MELONES-MAMELUNGAS-BUFAS-BUBILONGAS-BAKUGANS;1682335427623;27.00;33.00;529.00;19.00
TETAS-TETITAS-TETAZAS-TETORRAS-MELONES-MAMELUNGAS-BUFAS-BUBILONGAS-BAKUGANS;1682335442917;27.00;33.00;553.00;23.00
TETAS-TETITAS-TETAZAS-TETORRAS-MELONES-MAMELUNGAS-BUFAS-BUBILONGAS-BAKUGANS;1682335458212;27.00;32.00;594.00;29.00
TETAS-TETITAS-TETAZAS-TETORRAS-MELONES-MAMELUNGAS-BUFAS-BUBILONGAS-BAKUGANS;1682335473525;27.00;34.00;540.00;21.00
TETAS-TETITAS-TETAZAS-TETORRAS-MELONES-MAMELUNGAS-BUFAS-BUBILONGAS-BAKUGANS;1682335488820;27.00;33.00;620.00;33.00
TETAS-TETITAS-TETAZAS-TETORRAS-MELONES-MAMELUNGAS-BUFAS-BUBILONGAS-BAKUGANS;1682335504119;27.00;34.00;482.00;12.00
TETAS-TETITAS-TETAZAS-TETORRAS-MELONES-MAMELUNGAS-BUFAS-BUBILONGAS-BAKUGANS;1682335519415;27.00;33.00;448.00;7.00
TETAS-TETITAS-TETAZAS-TETORRAS-MELONES-MAMELUNGAS-BUFAS-BUBILONGAS-BAKUGANS;1682335534710;27.00;32.00;482.00;12.00
TETAS-TETITAS-TETAZAS-TETORRAS-MELONES-MAMELUNGAS-BUFAS-BUBILONGAS-BAKUGANS;1682335550085;27.00;33.00;466.00;10.00
TETAS-TETITAS-TETAZAS-TETORRAS-MELONES-MAMELUNGAS-BUFAS-BUBILONGAS-BAKUGANS;1682335565385;27.00;32.00;448.00;7.00
TETAS-TETITAS-TETAZAS-TETORRAS-MELONES-MAMELUNGAS-BUFAS-BUBILONGAS-BAKUGANS;1682335580680;27.00;33.00;502.00;15.00
TETAS-TETITAS-TETAZAS-TETORRAS-MELONES-MAMELUNGAS-BUFAS-BUBILONGAS-BAKUGANS;1682335595963;27.00;33.00;531.00;19.00
TETAS-TETITAS-TETAZAS-TETORRAS-MELONES-MAMELUNGAS-BUFAS-BUBILONGAS-BAKUGANS;1682335611293;27.00;34.00;497.00;14.00
TETAS-TETITAS-TETAZAS-TETORRAS-MELONES-MAMELUNGAS-BUFAS-BUBILONGAS-BAKUGANS;1682335626591;27.00;33.00;487.00;13.00
TETAS-TETITAS-TETAZAS-TETORRAS-MELONES-MAMELUNGAS-BUFAS-BUBILONGAS-BAKUGANS;1682335641892;27.00;32.00;487.00;13.00
TETAS-TETITAS-TETAZAS-TETORRAS-MELONES-MAMELUNGAS-BUFAS-BUBILONGAS-BAKUGANS;1682335657205;27.00;33.00;487.00;13.00
TETAS-TETITAS-TETAZAS-TETORRAS-MELONES-MAMELUNGAS-BUFAS-BUBILONGAS-BAKUGANS;1682335672513;26.00;33.00;564.00;24.00
TETAS-TETITAS-TETAZAS-TETORRAS-MELONES-MAMELUNGAS-BUFAS-BUBILONGAS-BAKUGANS;1682335687879;27.00;35.00;466.00;11.00
TETAS-TETITAS-TETAZAS-TETORRAS-MELONES-MAMELUNGAS-BUFAS-BUBILONGAS-BAKUGANS;1682335703174;27.00;33.00;564.00;24.00
TETAS-TETITAS-TETAZAS-TETORRAS-MELONES-MAMELUNGAS-BUFAS-BUBILONGAS-BAKUGANS;1682335718468;27.00;34.00;523.00;18.00
TETAS-TETITAS-TETAZAS-TETORRAS-MELONES-MAMELUNGAS-BUFAS-BUBILONGAS-BAKUGANS;1682335733781;27.00;33.00;457.00;8.00
TETAS-TETITAS-TETAZAS-TETORRAS-MELONES-MAMELUNGAS-BUFAS-BUBILONGAS-BAKUGANS;1682335749079;27.00;33.00;460.00;9.00
TETAS-TETITAS-TETAZAS-TETORRAS-MELONES-MAMELUNGAS-BUFAS-BUBILONGAS-BAKUGANS;1682335764376;26.00;34.00;475.00;11.00
