id_nodo; timestamp; temperatura; humedad; CO2; volatiles
XD.;1682334356123;26.00;35.00;410.00;1.00
XD.;1682334371433;26.00;34.00;464.00;9.00
XD.;1682334386999;26.00;35.00;482.00;12.00
XD.;1682334402426;26.00;34.00;671.00;41.00
XD.;1682334417727;26.00;34.00;501.00;15.00
XD.;1682334433143;26.00;35.00;574.00;26.00
XD.;1682334463923;26.00;36.00;400.00;0.00
XD.;1682334479281;26.00;34.00;531.00;19.00
XD.;1682334494589;26.00;34.00;438.00;5.00
XD.;1682334510038;26.00;33.00;569.00;25.00
XD.;1682334534430;26.00;34.00;492.00;14.00
XD.;1682334546128;26.00;33.00;417.00;2.00
XD.;1682334585402;26.00;33.00;537.00;20.00
XD.;1682334597362;26.00;34.00;443.00;6.00
XD.;1682334612726;26.00;43.00;464.00;9.00
XD.;1682334643310;26.00;33.00;518.00;17.00
XD.;1682334658632;26.00;34.00;882.00;73.00
XD.;1682334673933;26.00;48.00;578.00;27.00
XD.;1682334689294;26.00;35.00;464.00;9.00
XD.;1682334704631;26.00;33.00;575.00;26.00
XD.;1682334719931;26.00;34.00;514.00;17.00
XD.;1682334750519;26.00;34.00;497.00;15.00
XD.;1682334765821;26.00;34.00;578.00;27.00
XD.;1682334796400;26.00;34.00;578.00;27.00
XD.;1682334811758;26.00;34.00;443.00;6.00
XD.;1682334827150;26.00;33.00;487.00;13.00
XD.;1682334857722;26.00;34.00;586.00;28.00
XD.;1682334873024;26.00;34.00;657.00;39.00
XD.;1682334903599;26.00;46.00;806.00;61.00
XD.;1682334918922;26.00;38.00;602.00;30.00
XD.;1682334934378;26.00;35.00;462.00;9.00
XD.;1682334949687;26.00;34.00;487.00;13.00
XD.;1682334965053;26.00;33.00;493.00;14.00
XD.;1682334980371;26.00;33.00;462.00;9.00
XD.;1682334995724;26.00;33.00;543.00;21.00
XD.;1682335011082;26.00;34.00;1004.00;92.00
XD.;1682335026401;26.00;36.00;477.00;11.00
XD.;1682335041730;26.00;35.00;433.00;5.00
XD.;1682335057033;26.00;33.00;531.00;19.00
XD.;1682335087613;27.00;34.00;487.00;13.00
XD.;1682335102914;27.00;33.00;426.00;3.00
XD.;1682335118231;27.00;33.00;422.00;3.00
XD.;1682335133542;27.00;33.00;414.00;2.00
XD.;1682335164120;27.00;34.00;690.00;44.00
XD.;1682335179424;27.00;34.00;487.00;13.00
XD.;1682335194732;27.00;34.00;444.00;6.00
XD.;1682335210034;27.00;32.00;463.00;9.00
XD.;1682335240611;26.00;32.00;459.00;8.00
XD.;1682335255917;26.00;32.00;746.00;52.00
XD.;1682335271233;26.00;34.00;668.00;40.00
XD.;1682335286561;26.00;33.00;650.00;38.00
XD.;1682335301866;26.00;37.00;776.00;57.00
