id_nodo; timestamp; temperatura; humedad; CO2; volatiles
iTEC;1650885529685;29.00;33.00;481.00;12.00
iTEC;1650885544979;29.00;33.00;476.00;11.00
iTEC;1650885560491;29.00;33.00;485.00;12.00
iTEC;1650885576515;29.00;33.00;506.00;16.00
iTEC;1650885592445;29.00;33.00;492.00;14.00
iTEC;1650885607743;29.00;33.00;492.00;14.00
iTEC;1650885611998;25.00;40.00;441.00;6.00
iTEC;1650885623044;29.00;33.00;497.00;14.00
iTEC;1650885638405;25.00;40.00;410.00;1.00
iTEC;1650885638524;29.00;33.00;523.00;18.00
iTEC;1650885653713;25.00;37.00;445.00;6.00
iTEC;1650885653867;29.00;33.00;546.00;22.00
iTEC;1650885669173;29.00;33.00;529.00;19.00
iTEC;1650885673156;25.00;44.00;410.00;1.00
iTEC;1650885684468;29.00;33.00;540.00;21.00
iTEC;1650885688459;25.00;38.00;427.00;4.00
iTEC;1650885699751;29.00;33.00;523.00;18.00
iTEC;1650885716116;29.00;33.00;523.00;18.00
iTEC;1650885729282;25.00;38.00;400.00;0.00
iTEC;1650885731422;29.00;33.00;438.00;5.00
iTEC;1650885744593;25.00;37.00;424.00;3.00
iTEC;1650885746717;29.00;33.00;424.00;3.00
iTEC;1650885759921;25.00;37.00;424.00;3.00
iTEC;1650885762029;29.00;32.00;417.00;2.00
iTEC;1650885777403;29.00;33.00;400.00;0.00
iTEC;1650885792822;29.00;33.00;434.00;5.00
iTEC;1650885799005;25.00;37.00;400.00;0.00
iTEC;1650885808677;29.00;32.00;452.00;7.00
iTEC;1650885814744;25.00;37.00;416.00;2.00
iTEC;1650885824512;29.00;32.00;463.00;9.00
iTEC;1650885830062;25.00;37.00;427.00;4.00
iTEC;1650885842591;29.00;32.00;409.00;1.00
iTEC;1650885845388;25.00;95.00;409.00;1.00
iTEC;1650885858506;29.00;32.00;448.00;7.00
iTEC;1650885860686;26.00;41.00;413.00;1.00
iTEC;1650885873813;29.00;32.00;417.00;2.00
iTEC;1650885875994;26.00;35.00;423.00;3.00
iTEC;1650885889293;28.00;31.00;462.00;9.00
iTEC;1650885904587;28.00;31.00;536.00;20.00
iTEC;1650885910125;26.00;35.00;461.00;9.00
iTEC;1650885919886;28.00;32.00;423.00;3.00
iTEC;1650885936006;28.00;31.00;434.00;5.00
iTEC;1650885950537;26.00;36.00;426.00;3.00
iTEC;1650885952135;28.00;32.00;466.00;10.00
iTEC;1650885965920;25.00;35.00;411.00;1.00
iTEC;1650885967558;28.00;31.00;480.00;12.00
iTEC;1650885981960;25.00;34.00;411.00;1.00
iTEC;1650885983404;28.00;31.00;445.00;6.00
iTEC;1650885997245;25.00;35.00;405.00;0.00
iTEC;1650885998722;28.00;31.00;423.00;3.00
iTEC;1650886012545;25.00;34.00;448.00;7.00
iTEC;1650886014037;28.00;31.00;426.00;3.00
iTEC;1650886028212;25.00;34.00;475.00;11.00
iTEC;1650886029547;28.00;31.00;426.00;3.00
iTEC;1650886043514;25.00;34.00;472.00;10.00
iTEC;1650886045074;28.00;31.00;466.00;10.00
iTEC;1650886059053;25.00;35.00;436.00;5.00
iTEC;1650886060800;28.00;31.00;459.00;8.00
iTEC;1650886074353;25.00;34.00;466.00;10.00
iTEC;1650886076100;28.00;31.00;605.00;31.00
iTEC;1650886090203;25.00;36.00;485.00;12.00
iTEC;1650886091539;28.00;31.00;592.00;29.00
iTEC;1650886105826;25.00;36.00;459.00;8.00
iTEC;1650886107066;28.00;32.00;586.00;28.00
iTEC;1650886121472;25.00;36.00;475.00;11.00
iTEC;1650886122365;28.00;32.00;618.00;33.00
iTEC;1650886136776;25.00;36.00;500.00;15.00
iTEC;1650886137804;28.00;33.00;640.00;36.00
iTEC;1650886152196;25.00;36.00;527.00;19.00
iTEC;1650886153232;27.00;33.00;656.00;39.00
iTEC;1650886167617;25.00;36.00;548.00;22.00
iTEC;1650886168953;27.00;34.00;656.00;39.00
iTEC;1650886183142;25.00;36.00;578.00;27.00
iTEC;1650886185205;27.00;34.00;650.00;38.00
iTEC;1650886198447;25.00;36.00;599.00;30.00
iTEC;1650886200507;27.00;35.00;623.00;33.00
iTEC;1650886213746;25.00;37.00;548.00;22.00
iTEC;1650886215804;27.00;35.00;666.00;40.00
iTEC;1650886229048;25.00;36.00;500.00;15.00
iTEC;1650886231106;26.00;36.00;605.00;31.00
iTEC;1650886244525;25.00;36.00;466.00;10.00
iTEC;1650886246413;26.00;36.00;656.00;39.00
iTEC;1650886259820;25.00;35.00;530.00;19.00
iTEC;1650886262316;26.00;36.00;688.00;43.00
iTEC;1650886275447;25.00;36.00;540.00;21.00
iTEC;1650886277611;26.00;36.00;666.00;40.00
