id_nodo; timestamp; temperatura; humedad; CO2; volatiles
losdelfondo;1650885477269;25.00;44.00;439.00;5.00
losdelfondo;1650885492644;24.00;38.00;473.00;11.00
losdelfondo;1650885507977;24.00;39.00;473.00;11.00
losdelfondo;1650885523354;24.00;39.00;455.00;8.00
losdelfondo;1650885538680;24.00;39.00;473.00;11.00
losdelfondo;1650885553980;24.00;39.00;481.00;12.00
losdelfondo;1650885569400;24.00;40.00;486.00;13.00
losdelfondo;1650885584702;24.00;39.00;514.00;17.00
losdelfondo;1650885600011;24.00;40.00;530.00;19.00
losdelfondo;1650885615311;24.00;40.00;530.00;19.00
losdelfondo;1650885630627;24.00;40.00;519.00;18.00
losdelfondo;1650885645929;24.00;40.00;514.00;17.00
losdelfondo;1650885661235;24.00;40.00;505.00;15.00
losdelfondo;1650885676530;24.00;40.00;500.00;15.00
losdelfondo;1650885691819;24.00;40.00;450.00;7.00
losdelfondo;1650885707126;24.00;39.00;505.00;15.00
losdelfondo;1650885722424;24.00;39.00;460.00;9.00
losdelfondo;1650885737729;24.00;39.00;463.00;9.00
losdelfondo;1650885753108;24.00;40.00;460.00;9.00
losdelfondo;1650885768441;24.00;39.00;481.00;12.00
losdelfondo;1650885783742;24.00;39.00;463.00;9.00
losdelfondo;1650885799047;24.00;39.00;481.00;12.00
losdelfondo;1650885814354;24.00;40.00;473.00;11.00
losdelfondo;1650885829660;24.00;39.00;439.00;5.00
losdelfondo;1650885844972;24.00;39.00;400.00;0.00
losdelfondo;1650885860277;24.00;39.00;505.00;15.00
losdelfondo;1650885875584;24.00;39.00;433.00;5.00
losdelfondo;1650885890884;24.00;39.00;400.00;0.00
losdelfondo;1650885906211;24.00;39.00;455.00;8.00
losdelfondo;1650885921596;24.00;39.00;445.00;6.00
losdelfondo;1650885936895;24.00;62.00;451.00;7.00
losdelfondo;1650885952239;27.00;68.00;1032.00;96.00
losdelfondo;1650885967553;28.00;38.00;539.00;21.00
losdelfondo;1650885982858;28.00;33.00;690.00;44.00
losdelfondo;1650885998147;29.00;37.00;600.00;30.00
losdelfondo;1650886016509;29.00;32.00;498.00;14.00
losdelfondo;1650886047106;28.00;31.00;515.00;17.00
losdelfondo;1650886062417;27.00;29.00;482.00;12.00
losdelfondo;1650886077719;27.00;31.00;574.00;26.00
losdelfondo;1650886093017;27.00;32.00;498.00;14.00
losdelfondo;1650886108323;26.00;32.00;470.00;10.00
losdelfondo;1650886123626;26.00;33.00;463.00;9.00
losdelfondo;1650886138936;26.00;33.00;515.00;17.00
losdelfondo;1650886154688;26.00;35.00;508.00;16.00
losdelfondo;1650886169995;25.00;34.00;502.00;15.00
losdelfondo;1650886185301;25.00;35.00;564.00;24.00
losdelfondo;1650886200656;25.00;36.00;502.00;15.00
losdelfondo;1650886215955;25.00;36.00;588.00;28.00
losdelfondo;1650886231251;25.00;36.00;591.00;29.00
losdelfondo;1650886246573;25.00;36.00;524.00;18.00
losdelfondo;1650886261873;25.00;37.00;555.00;23.00
losdelfondo;1650886280021;25.00;37.00;502.00;15.00
losdelfondo;1650886295323;25.00;37.00;508.00;16.00
losdelfondo;1650886310642;25.00;37.00;515.00;17.00
losdelfondo;1650886328802;24.00;37.00;530.00;19.00
losdelfondo;1650886344116;24.00;38.00;508.00;16.00
losdelfondo;1650886359453;24.00;38.00;545.00;22.00
losdelfondo;1650886374925;24.00;38.00;551.00;23.00
losdelfondo;1650886390422;24.00;38.00;574.00;26.00
losdelfondo;1650886405794;24.00;38.00;569.00;25.00
losdelfondo;1650886421139;24.00;39.00;539.00;21.00
losdelfondo;1650886436444;24.00;39.00;530.00;19.00
losdelfondo;1650886451858;24.00;39.00;539.00;21.00
losdelfondo;1650886467168;24.00;39.00;524.00;18.00
losdelfondo;1650886482470;24.00;39.00;533.00;20.00
losdelfondo;1650886497772;24.00;39.00;580.00;27.00
losdelfondo;1650886513065;24.00;39.00;591.00;29.00
losdelfondo;1650886528359;24.00;39.00;591.00;29.00
losdelfondo;1650886543653;24.00;39.00;533.00;20.00
losdelfondo;1650886558950;24.00;39.00;539.00;21.00
losdelfondo;1650886574330;24.00;39.00;555.00;23.00
losdelfondo;1650886589631;24.00;39.00;530.00;19.00
losdelfondo;1650886604938;24.00;39.00;569.00;25.00
losdelfondo;1650886620229;24.00;39.00;600.00;30.00
losdelfondo;1650886635529;24.00;40.00;569.00;25.00
losdelfondo;1650886650823;24.00;40.00;545.00;22.00
losdelfondo;1650886666124;24.00;40.00;574.00;26.00
losdelfondo;1650886681426;24.00;40.00;569.00;25.00
losdelfondo;1650886696729;24.00;40.00;600.00;30.00
losdelfondo;1650886712029;24.00;40.00;603.00;30.00
losdelfondo;1650886727333;24.00;40.00;638.00;36.00
losdelfondo;1650886742645;24.00;40.00;588.00;28.00
losdelfondo;1650886757944;24.00;40.00;588.00;28.00
losdelfondo;1650886773299;24.00;40.00;551.00;23.00
losdelfondo;1650886788592;24.00;40.00;530.00;19.00
losdelfondo;1650886803891;24.00;39.00;530.00;19.00
losdelfondo;1650886819204;24.00;40.00;564.00;24.00
losdelfondo;1650886834506;24.00;40.00;555.00;23.00
losdelfondo;1650886849811;24.00;40.00;580.00;27.00
losdelfondo;1650886865091;24.00;39.00;591.00;29.00
losdelfondo;1650886880393;24.00;40.00;626.00;34.00
losdelfondo;1650886895697;24.00;40.00;600.00;30.00
losdelfondo;1650886910991;24.00;40.00;600.00;30.00
losdelfondo;1650886926307;24.00;40.00;600.00;30.00
losdelfondo;1650886941600;24.00;40.00;539.00;21.00
losdelfondo;1650886956903;24.00;40.00;539.00;21.00
losdelfondo;1650886972279;24.00;40.00;668.00;40.00
losdelfondo;1650886987578;24.00;40.00;569.00;25.00
losdelfondo;1650887002877;24.00;40.00;591.00;29.00
losdelfondo;1650887018177;24.00;40.00;588.00;28.00
losdelfondo;1650887033491;24.00;41.00;555.00;23.00
losdelfondo;1650887048788;24.00;40.00;502.00;15.00
losdelfondo;1650887064084;24.00;40.00;530.00;19.00
losdelfondo;1650887094660;24.00;40.00;502.00;15.00
losdelfondo;1650887109960;24.00;40.00;564.00;24.00
losdelfondo;1650887125267;24.00;42.00;476.00;11.00
losdelfondo;1650887140565;24.00;40.00;463.00;9.00
losdelfondo;1650887155874;24.00;39.00;442.00;6.00
losdelfondo;1650887171174;24.00;39.00;442.00;6.00
losdelfondo;1650887186473;24.00;39.00;418.00;2.00
losdelfondo;1650887201788;24.00;37.00;452.00;7.00
losdelfondo;1650887220000;24.00;38.00;501.00;15.00
