id_nodo; timestamp; temperatura; humedad; CO2; volatiles
manzana;1682334515051;26.00;33.00;407.00;1.00
manzana;1682334530491;26.00;34.00;444.00;6.00
manzana;1682334546153;26.00;35.00;447.00;7.00
manzana;1682334576776;26.00;35.00;452.00;7.00
manzana;1682334592147;26.00;35.00;423.00;3.00
manzana;1682334646641;26.00;34.00;433.00;5.00
manzana;1682334661995;26.00;35.00;405.00;0.00
manzana;1682334677337;26.00;38.00;400.00;0.00
manzana;1682334692684;26.00;36.00;400.00;0.00
manzana;1682334723263;26.00;34.00;418.00;2.00
manzana;1682334772229;26.00;35.00;400.00;0.00
manzana;1682334787531;26.00;34.00;432.00;4.00
manzana;1682334818110;26.00;35.00;450.00;7.00
manzana;1682334833410;26.00;35.00;441.00;6.00
manzana;1682334848727;26.00;35.00;483.00;12.00
manzana;1682334864023;26.00;35.00;460.00;9.00
manzana;1682334879328;26.00;35.00;476.00;11.00
manzana;1682334894633;26.00;35.00;476.00;11.00
manzana;1682334925216;26.00;35.00;446.00;7.00
manzana;1682334940517;26.00;36.00;597.00;30.00
manzana;1682334971115;26.00;36.00;441.00;6.00
manzana;1682334986517;26.00;35.00;450.00;7.00
manzana;1682335001842;26.00;35.00;450.00;7.00
manzana;1682335017277;26.00;35.00;450.00;7.00
manzana;1682335032578;26.00;35.00;446.00;7.00
manzana;1682335047882;26.00;35.00;533.00;20.00
manzana;1682335063183;26.00;36.00;476.00;11.00
manzana;1682335093760;28.00;95.00;1568.00;220.00
manzana;1682335109057;30.00;95.00;765.00;55.00
manzana;1682335139633;32.00;95.00;865.00;70.00
manzana;1682335154933;32.00;33.00;920.00;79.00
manzana;1682335185517;31.00;28.00;900.00;76.00
manzana;1682335200819;31.00;28.00;909.00;77.00
manzana;1682335231396;30.00;28.00;956.00;84.00
manzana;1682335246697;29.00;29.00;889.00;74.00
manzana;1682335262002;29.00;30.00;880.00;73.00
manzana;1682335277303;29.00;31.00;889.00;74.00
manzana;1682335307875;28.00;30.00;933.00;81.00
manzana;1682335323177;28.00;31.00;933.00;81.00
manzana;1682335353753;28.00;32.00;967.00;86.00
manzana;1682335369053;27.00;31.00;1441.00;158.00
manzana;1682335399624;27.00;33.00;1341.00;143.00
manzana;1682335414925;27.00;34.00;1081.00;103.00
manzana;1682335445502;27.00;34.00;880.00;73.00
manzana;1682335460831;27.00;33.00;889.00;74.00
manzana;1682335476145;27.00;32.00;1527.00;190.00
manzana;1682335491457;27.00;37.00;1307.00;138.00
manzana;1682335506759;27.00;36.00;1140.00;112.00
manzana;1682335522063;27.00;36.00;853.00;69.00
manzana;1682335537379;27.00;36.00;802.00;61.00
manzana;1682335552700;27.00;33.00;813.00;62.00
manzana;1682335568007;27.00;34.00;880.00;73.00
manzana;1682335583297;27.00;34.00;821.00;64.00
manzana;1682335598603;28.00;33.00;889.00;74.00
manzana;1682335613908;28.00;35.00;757.00;54.00
manzana;1682335629213;28.00;31.00;715.00;47.00
manzana;1682335644528;28.00;31.00;821.00;64.00
manzana;1682335659839;28.00;31.00;832.00;65.00
manzana;1682335675140;28.00;32.00;1360.00;146.00
manzana;1682335705711;28.00;32.00;1616.00;261.00
manzana;1682335721012;28.00;34.00;1341.00;143.00
manzana;1682335751588;28.00;36.00;1053.00;99.00
manzana;1682335766897;28.00;32.00;967.00;86.00
manzana;1682335782199;28.00;31.00;1270.00;132.00
manzana;1682335797500;27.00;31.00;981.00;88.00
manzana;1682335828079;27.00;32.00;900.00;76.00
manzana;1682335843380;27.00;30.00;1029.00;95.00
manzana;1682335873958;27.00;32.00;1128.00;110.00
manzana;1682335889246;27.00;32.00;1255.00;130.00
manzana;1682335919823;27.00;32.00;1105.00;105.00
manzana;1682335935125;27.00;32.00;1105.00;107.00
manzana;1682335950439;27.00;32.00;1065.00;101.00
manzana;1682335965740;27.00;32.00;1527.00;190.00
manzana;1682335996323;27.00;32.00;1238.00;127.00
manzana;1682336011644;27.00;33.00;1153.00;114.00
manzana;1682336026945;27.00;32.00;1385.00;150.00
manzana;1682336042246;27.00;34.00;1128.00;110.00
manzana;1682336057549;27.00;33.00;1093.00;105.00
