id_nodo; timestamp; temperatura; humedad; CO2; volatiles
nano33;1682334436610;27.00;40.00;400.00;0.00
nano33;1682334452974;27.00;37.00;552.00;23.00
nano33;1682334471219;27.00;38.00;442.00;6.00
nano33;1682334486519;27.00;36.00;865.00;70.00
nano33;1682334501877;27.00;38.00;759.00;54.00
nano33;1682334517182;27.00;39.00;1044.00;98.00
nano33;1682334532764;27.00;38.00;834.00;66.00
nano33;1682334548126;27.00;39.00;641.00;36.00
nano33;1682334563421;27.00;39.00;586.00;28.00
nano33;1682334578782;27.00;37.00;607.00;31.00
nano33;1682334595557;27.00;39.00;637.00;36.00
nano33;1682334610895;27.00;37.00;697.00;45.00
nano33;1682334626548;27.00;40.00;913.00;78.00
nano33;1682334642226;27.00;40.00;435.00;5.00
nano33;1682334657635;27.00;36.00;485.00;12.00
nano33;1682334672938;27.00;36.00;485.00;12.00
nano33;1682334688243;27.00;36.00;403.00;0.00
nano33;1682334703926;27.00;36.00;546.00;22.00
nano33;1682334719803;27.00;38.00;754.00;53.00
nano33;1682334735105;27.00;40.00;686.00;43.00
nano33;1682334750437;27.00;38.00;483.00;12.00
nano33;1682334765739;27.00;35.00;560.00;24.00
nano33;1682334781038;27.00;37.00;653.00;38.00
nano33;1682334796333;27.00;39.00;488.00;13.00
nano33;1682334811849;27.00;38.00;439.00;5.00
nano33;1682334827147;28.00;65.00;586.00;28.00
nano33;1682334842476;30.00;70.00;530.00;19.00
nano33;1682334857762;31.00;38.00;491.00;13.00
nano33;1682334873056;31.00;31.00;553.00;23.00
nano33;1682334888352;31.00;36.00;400.00;0.00
nano33;1682334903646;30.00;33.00;438.00;5.00
nano33;1682334918999;30.00;31.00;433.00;5.00
nano33;1682334934308;30.00;31.00;506.00;16.00
nano33;1682334949607;30.00;61.00;448.00;7.00
nano33;1682334968122;31.00;65.00;463.00;9.00
nano33;1682334983607;32.00;38.00;561.00;24.00
nano33;1682334998987;32.00;30.00;548.00;22.00
nano33;1682335014360;31.00;29.00;656.00;39.00
nano33;1682335029691;31.00;30.00;561.00;24.00
nano33;1682335045002;30.00;36.00;717.00;48.00
nano33;1682335060298;30.00;41.00;506.00;16.00
nano33;1682335075609;31.00;37.00;480.00;12.00
nano33;1682335090903;32.00;34.00;566.00;25.00
nano33;1682335106245;32.00;28.00;463.00;9.00
