id_nodo; timestamp; temperatura; humedad; CO2; volatiles
patatasfritas;1682334923859;25.00;33.00;400.00;0.00
patatasfritas;1682334976845;26.00;33.00;400.00;0.00
patatasfritas;1682335017521;26.00;33.00;400.00;0.00
patatasfritas;1682335048109;26.00;34.00;400.00;0.00
patatasfritas;1682335063410;26.00;34.00;400.00;0.00
patatasfritas;1682335078712;26.00;34.00;400.00;0.00
patatasfritas;1682335094010;26.00;34.00;405.00;0.00
patatasfritas;1682335109333;26.00;33.00;402.00;0.00
patatasfritas;1682335124689;27.00;74.00;432.00;4.00
patatasfritas;1682335139987;29.00;77.00;533.00;20.00
patatasfritas;1682335155287;30.00;48.00;543.00;21.00
patatasfritas;1682335170586;30.00;34.00;448.00;7.00
patatasfritas;1682335185884;30.00;32.00;423.00;3.00
patatasfritas;1682335201179;29.00;31.00;410.00;1.00
patatasfritas;1682335216473;29.00;31.00;410.00;1.00
patatasfritas;1682335231768;29.00;32.00;411.00;1.00
patatasfritas;1682335247062;28.00;31.00;436.00;5.00
patatasfritas;1682335262356;28.00;31.00;459.00;8.00
patatasfritas;1682335292972;28.00;32.00;436.00;5.00
patatasfritas;1682335308272;27.00;31.00;436.00;5.00
patatasfritas;1682335323599;27.00;31.00;436.00;5.00
patatasfritas;1682335338900;27.00;32.00;400.00;0.00
patatasfritas;1682335354193;27.00;31.00;409.00;1.00
patatasfritas;1682335369499;27.00;32.00;443.00;6.00
patatasfritas;1682335384891;26.00;32.00;409.00;1.00
patatasfritas;1682335400176;26.00;32.00;409.00;1.00
patatasfritas;1682335415470;26.00;32.00;433.00;5.00
patatasfritas;1682335430763;26.00;32.00;446.00;7.00
patatasfritas;1682335446073;26.00;32.00;414.00;2.00
patatasfritas;1682335461402;26.00;32.00;456.00;8.00
patatasfritas;1682335476698;26.00;33.00;497.00;14.00
patatasfritas;1682335491992;26.00;33.00;508.00;16.00
patatasfritas;1682335507288;26.00;34.00;451.00;7.00
patatasfritas;1682335522585;26.00;33.00;436.00;5.00
patatasfritas;1682335537888;26.00;33.00;414.00;2.00
patatasfritas;1682335553188;26.00;33.00;433.00;5.00
patatasfritas;1682335568490;26.00;33.00;426.00;3.00
patatasfritas;1682335583777;26.00;33.00;446.00;7.00
patatasfritas;1682335599085;26.00;34.00;497.00;14.00
patatasfritas;1682335614378;26.00;34.00;497.00;14.00
patatasfritas;1682335629675;26.00;34.00;518.00;17.00
patatasfritas;1682335644983;26.00;34.00;497.00;14.00
patatasfritas;1682335660280;26.00;34.00;497.00;14.00
patatasfritas;1682335675583;26.00;34.00;536.00;20.00
patatasfritas;1682335690878;26.00;34.00;502.00;15.00
patatasfritas;1682335706168;26.00;34.00;481.00;12.00
patatasfritas;1682335721464;26.00;35.00;488.00;13.00
patatasfritas;1682335736757;26.00;34.00;497.00;14.00
patatasfritas;1682335752053;26.00;34.00;508.00;16.00
patatasfritas;1682335767357;26.00;34.00;481.00;12.00
patatasfritas;1682335782659;26.00;34.00;451.00;7.00
patatasfritas;1682335797971;26.00;34.00;451.00;7.00
patatasfritas;1682335813291;26.00;34.00;492.00;14.00
patatasfritas;1682335828591;26.00;35.00;524.00;18.00
patatasfritas;1682335843891;26.00;35.00;529.00;19.00
patatasfritas;1682335874460;26.00;35.00;518.00;17.00
patatasfritas;1682335889741;25.00;34.00;508.00;16.00
patatasfritas;1682335905035;25.00;34.00;508.00;16.00
patatasfritas;1682335920331;25.00;34.00;552.00;23.00
patatasfritas;1682335935632;25.00;34.00;518.00;17.00
patatasfritas;1682335950940;26.00;35.00;529.00;19.00
patatasfritas;1682335966236;26.00;36.00;529.00;19.00
patatasfritas;1682335981544;26.00;35.00;502.00;15.00
patatasfritas;1682335996837;26.00;35.00;518.00;17.00
patatasfritas;1682336012153;26.00;34.00;578.00;27.00
patatasfritas;1682336027449;26.00;35.00;476.00;11.00
patatasfritas;1682336042766;26.00;34.00;660.00;39.00
patatasfritas;1682336058062;26.00;35.00;607.00;31.00
patatasfritas;1682336073358;26.00;35.00;1019.00;94.00
patatasfritas;1682336088690;26.00;37.00;800.00;60.00
patatasfritas;1682336103999;26.00;37.00;749.00;53.00
patatasfritas;1682336119298;26.00;36.00;749.00;53.00
patatasfritas;1682336134591;26.00;36.00;552.00;23.00
patatasfritas;1682336149906;26.00;36.00;567.00;25.00
patatasfritas;1682336165235;26.00;36.00;588.00;28.00
patatasfritas;1682336180567;26.00;36.00;524.00;18.00
patatasfritas;1682336195941;26.00;35.00;552.00;23.00
patatasfritas;1682336211235;26.00;34.00;626.00;34.00
patatasfritas;1682336226529;26.00;34.00;542.00;21.00
patatasfritas;1682336241838;26.00;34.00;552.00;23.00
patatasfritas;1682336257130;26.00;34.00;529.00;19.00
patatasfritas;1682336272425;26.00;34.00;536.00;20.00
patatasfritas;1682336287727;26.00;35.00;497.00;14.00
patatasfritas;1682336303020;26.00;35.00;653.00;38.00
patatasfritas;1682336318329;26.00;36.00;578.00;27.00
patatasfritas;1682336333631;26.00;35.00;524.00;18.00
patatasfritas;1682336348934;26.00;34.00;578.00;27.00
