id_nodo; timestamp; temperatura; humedad; CO2; volatiles
pru2007;1682334671873;28.00;31.00;400.00;0.00
pru2007;1682334687206;28.00;30.00;400.00;0.00
pru2007;1682334702517;28.00;30.00;480.00;12.00
pru2007;1682334717838;27.00;29.00;450.00;7.00
pru2007;1682334733174;27.00;31.00;508.00;16.00
pru2007;1682334748505;28.00;54.00;543.00;21.00
pru2007;1682334763843;29.00;71.00;629.00;34.00
pru2007;1682334779193;30.00;70.00;997.00;90.00
pru2007;1682334794551;31.00;64.00;657.00;39.00
pru2007;1682334809850;31.00;67.00;787.00;58.00
pru2007;1682334825173;32.00;37.00;549.00;22.00
pru2007;1682334840534;31.00;29.00;690.00;44.00
pru2007;1682334855827;31.00;29.00;787.00;58.00
pru2007;1682334901268;30.00;28.00;400.00;0.00
pru2007;1682334916579;29.00;29.00;444.00;6.00
pru2007;1682334931924;29.00;30.00;415.00;2.00
pru2007;1682334947296;29.00;30.00;428.00;4.00
pru2007;1682334962684;28.00;30.00;400.00;0.00
pru2007;1682334978107;28.00;29.00;447.00;7.00
pru2007;1682334993530;27.00;30.00;480.00;12.00
pru2007;1682335024140;27.00;31.00;508.00;16.00
pru2007;1682335039458;27.00;31.00;523.00;18.00
pru2007;1682335054765;27.00;31.00;517.00;17.00
pru2007;1682335070074;27.00;32.00;574.00;26.00
pru2007;1682335085376;27.00;33.00;502.00;15.00
pru2007;1682335100676;27.00;33.00;470.00;10.00
pru2007;1682335116055;27.00;32.00;433.00;5.00
pru2007;1682335131470;26.00;32.00;420.00;3.00
pru2007;1682335146860;26.00;32.00;492.00;14.00
pru2007;1682335162211;26.00;33.00;470.00;10.00
pru2007;1682335192789;26.00;33.00;427.00;4.00
pru2007;1682335208096;26.00;33.00;400.00;0.00
pru2007;1682335223403;26.00;32.00;410.00;1.00
pru2007;1682335238706;26.00;33.00;421.00;3.00
pru2007;1682335269294;26.00;34.00;519.00;18.00
pru2007;1682335284592;25.00;33.00;553.00;23.00
pru2007;1682335299902;26.00;35.00;570.00;25.00
pru2007;1682335315241;26.00;36.00;581.00;27.00
pru2007;1682335330539;26.00;36.00;503.00;15.00
pru2007;1682335361118;26.00;34.00;441.00;6.00
pru2007;1682335376420;26.00;34.00;421.00;3.00
pru2007;1682335406993;26.00;34.00;461.00;9.00
pru2007;1682335422301;26.00;34.00;897.00;75.00
pru2007;1682335437609;26.00;34.00;461.00;9.00
pru2007;1682335452910;26.00;33.00;519.00;18.00
pru2007;1682335483551;26.00;34.00;473.00;11.00
pru2007;1682335498858;26.00;33.00;500.00;15.00
pru2007;1682335514167;26.00;35.00;482.00;12.00
pru2007;1682335544745;26.00;33.00;461.00;9.00
pru2007;1682335560047;26.00;33.00;450.00;7.00
pru2007;1682335575353;26.00;33.00;441.00;6.00
pru2007;1682335590643;26.00;33.00;459.00;8.00
pru2007;1682335621225;26.00;34.00;477.00;11.00
pru2007;1682335636562;26.00;34.00;492.00;14.00
pru2007;1682335651880;26.00;34.00;497.00;14.00
pru2007;1682335682460;26.00;34.00;461.00;9.00
pru2007;1682335697768;26.00;34.00;482.00;12.00
pru2007;1682335728353;26.00;34.00;473.00;11.00
pru2007;1682335743660;26.00;34.00;444.00;6.00
pru2007;1682335758965;26.00;34.00;714.00;47.00
pru2007;1682335774277;26.00;34.00;514.00;17.00
pru2007;1682335789578;26.00;35.00;461.00;9.00
pru2007;1682335804885;26.00;35.00;556.00;23.00
pru2007;1682335820189;26.00;36.00;733.00;50.00
pru2007;1682335835489;26.00;40.00;726.00;49.00
pru2007;1682335866067;26.00;40.00;539.00;21.00
pru2007;1682335881371;26.00;36.00;486.00;13.00
pru2007;1682335911936;26.00;34.00;492.00;14.00
pru2007;1682335927237;26.00;35.00;877.00;72.00
pru2007;1682335957828;26.00;36.00;482.00;12.00
pru2007;1682335973148;26.00;34.00;500.00;15.00
pru2007;1682335988451;26.00;34.00;553.00;23.00
pru2007;1682336003756;26.00;35.00;444.00;6.00
pru2007;1682336019109;26.00;34.00;415.00;2.00
pru2007;1682336034424;25.00;33.00;450.00;7.00
pru2007;1682336049728;25.00;34.00;519.00;18.00
pru2007;1682336065034;25.00;35.00;686.00;43.00
pru2007;1682336080341;25.00;35.00;660.00;39.00
pru2007;1682336095644;25.00;36.00;526.00;19.00
pru2007;1682336110991;25.00;35.00;500.00;15.00
pru2007;1682336126295;25.00;34.00;607.00;31.00
pru2007;1682336141599;25.00;37.00;482.00;12.00
pru2007;1682336156906;26.00;35.00;421.00;3.00
pru2007;1682336172222;26.00;35.00;450.00;7.00
pru2007;1682336187536;26.00;36.00;473.00;11.00
pru2007;1682336218115;26.00;35.00;519.00;18.00
pru2007;1682336233416;26.00;35.00;441.00;6.00
pru2007;1682336263991;26.00;35.00;607.00;31.00
pru2007;1682336279293;26.00;37.00;454.00;8.00
pru2007;1682336309873;25.00;34.00;492.00;14.00
pru2007;1682336325179;25.00;34.00;530.00;19.00
pru2007;1682336355757;26.00;36.00;589.00;28.00
pru2007;1682336371058;26.00;35.00;548.00;22.00
pru2007;1682336386369;26.00;35.00;548.00;22.00
pru2007;1682336401725;26.00;35.00;577.00;26.00
pru2007;1682336417029;26.00;35.00;565.00;25.00
pru2007;1682336447606;26.00;35.00;459.00;8.00
